model_family,latent_dim,target,arm,mae,r2
conditional_ae,3,curvature_index_mean,development_constant,0.015715778847694335,-0.19878522204786497
conditional_ae,3,curvature_index_mean,direct_context,0.008086585024790609,0.10352986469617198
conditional_ae,3,curvature_index_mean,latent_probe,0.015659600767745734,-0.22994415208404137
conditional_ae,3,curvature_index_sd,development_constant,0.054119437963674,-0.1235650321086268
conditional_ae,3,curvature_index_sd,direct_context,0.039296494581096485,-0.11614150886887198
conditional_ae,3,curvature_index_sd,latent_probe,0.05399225994110379,-0.10811040627471247
conditional_ae,3,initiation_time_s_mean,development_constant,0.03038119246223941,-0.11572525170944692
conditional_ae,3,initiation_time_s_mean,direct_context,0.009274765744360845,0.9115361719368679
conditional_ae,3,initiation_time_s_mean,latent_probe,0.01467042174377624,0.7164723449404726
conditional_ae,3,initiation_time_s_sd,development_constant,0.01402803906771552,-0.046102410308510366
conditional_ae,3,initiation_time_s_sd,direct_context,0.010928194745774574,0.4049732329750291
conditional_ae,3,initiation_time_s_sd,latent_probe,0.01438076144689384,-0.10404260161261296
conditional_ae,3,max_lateral_deviation_mean,development_constant,0.2138667539729581,-0.1138153861432658
conditional_ae,3,max_lateral_deviation_mean,direct_context,0.03830300779219764,0.9628798991285201
conditional_ae,3,max_lateral_deviation_mean,latent_probe,0.19720560739464021,0.0703357168218413
conditional_ae,3,max_lateral_deviation_sd,development_constant,0.10394045872296069,-0.2153357528484987
conditional_ae,3,max_lateral_deviation_sd,direct_context,0.06695761603826796,0.27222326617259407
conditional_ae,3,max_lateral_deviation_sd,latent_probe,0.11419468761668515,-0.3748850485098771
conditional_ae,3,movement_time_s_mean,development_constant,0.048762006937175216,-0.09447728304811642
conditional_ae,3,movement_time_s_mean,direct_context,0.011049426775781449,0.924468009833891
conditional_ae,3,movement_time_s_mean,latent_probe,0.041769069514570455,-0.2893878976711544
conditional_ae,3,movement_time_s_sd,development_constant,0.03244078483683542,-0.10032126529847196
conditional_ae,3,movement_time_s_sd,direct_context,0.027879019640692417,0.016574899146142075
conditional_ae,3,movement_time_s_sd,latent_probe,0.029013986086605114,0.06369258925556402
conditional_ae,3,n_submovements_mean,development_constant,0.06645986803327505,-0.23439231723011722
conditional_ae,3,n_submovements_mean,direct_context,0.021629173314821646,0.8830840832761294
conditional_ae,3,n_submovements_mean,latent_probe,0.06609518826216713,-0.2546104935233206
conditional_ae,3,n_submovements_sd,development_constant,0.13441114364911505,-0.2821818991505536
conditional_ae,3,n_submovements_sd,direct_context,0.07928217167560737,0.49718905993137713
conditional_ae,3,n_submovements_sd,latent_probe,0.1351194653653726,-0.2540207611866276
conditional_ae,3,path_length_mean,development_constant,0.3690595943775106,-0.25916971379885756
conditional_ae,3,path_length_mean,direct_context,0.16235443379203612,0.42588662239596453
conditional_ae,3,path_length_mean,latent_probe,0.3874891362436266,-0.40204547474568314
conditional_ae,3,path_length_sd,development_constant,0.672800730643301,-0.09305006053037967
conditional_ae,3,path_length_sd,direct_context,0.43754868935823765,0.03083011909391009
conditional_ae,3,path_length_sd,latent_probe,0.6828397874034602,-0.13904735316171588
conditional_ae,3,peak_speed_tracker_units_s_mean,development_constant,11.875679048106917,-0.031971228408443464
conditional_ae,3,peak_speed_tracker_units_s_mean,direct_context,1.734399404616129,0.9760682559025359
conditional_ae,3,peak_speed_tracker_units_s_mean,latent_probe,8.72027813933454,0.16230465294350263
conditional_ae,3,peak_speed_tracker_units_s_sd,development_constant,2.646218813161273,-0.08942194549115734
conditional_ae,3,peak_speed_tracker_units_s_sd,direct_context,1.7073778429041588,0.4666787750204573
conditional_ae,3,peak_speed_tracker_units_s_sd,latent_probe,2.745725412977533,-0.2866128608270065
conditional_ae,8,curvature_index_mean,development_constant,0.015715778847694335,-0.19878522204786497
conditional_ae,8,curvature_index_mean,direct_context,0.008086585024790609,0.10352986469617198
conditional_ae,8,curvature_index_mean,latent_probe,0.015068871763713442,-0.17011045257805488
conditional_ae,8,curvature_index_sd,development_constant,0.054119437963674,-0.1235650321086268
