latent_dim,n_paired_participants,cvae_median,unconditional_vae_median,unconditional_minus_cvae_median,cvae_better_participants,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_holm
3,28,0.12213098387316096,0.1133503583263207,0.00017254611951848797,14,176.0,0.551873967051506,0.551873967051506
8,28,0.08689267023081709,0.07897684454934605,0.005577569303032673,17,122.0,0.06623983383178711,0.13247966766357422
