fold,feature_a,feature_b,pooled_rho,median_within_rho
0,initiation_time_s,movement_time_s,-0.5150585555922553,-0.44930990294777046
0,initiation_time_s,peak_speed_tracker_units_s,0.4003328966336854,0.28152052916120607
0,initiation_time_s,time_to_peak_speed,-0.1218172053342634,-0.18010397893568544
0,initiation_time_s,path_length,-0.0955776840242993,-0.07645434160180957
0,initiation_time_s,straight_line_dist,-0.06566795658012917,-0.060348301544079865
0,initiation_time_s,curvature_index,-0.12146917335192738,-0.04984532594966955
0,initiation_time_s,max_lateral_deviation,-0.04618368264386856,0.0437205483261809
0,initiation_time_s,n_submovements,-0.06737463305305345,-0.09780361757226161
0,initiation_time_s,end_x,0.14483998059469186,0.08776295240802572
0,initiation_time_s,end_y,-0.0915020862234408,-0.07807399992810524
0,movement_time_s,peak_speed_tracker_units_s,-0.7567349745858434,-0.6630153546260479
0,movement_time_s,time_to_peak_speed,0.06672906529074839,0.004091432956521606
0,movement_time_s,path_length,0.36992926411788446,0.33320473621448676
0,movement_time_s,straight_line_dist,0.24096925004234698,0.2274018408979167
0,movement_time_s,curvature_index,0.4082665758976185,0.30418359805727113
0,movement_time_s,max_lateral_deviation,0.2625859936424089,0.1251026769563513
0,movement_time_s,n_submovements,0.1825693244202719,0.17661940925384043
0,movement_time_s,end_x,-0.2613186425410156,-0.07201909685106714
0,movement_time_s,end_y,0.2830964832188585,0.2551363376415611
0,peak_speed_tracker_units_s,time_to_peak_speed,0.04529886572412348,0.17860854718468322
0,peak_speed_tracker_units_s,path_length,-0.0827314538050596,0.07388705412718499
0,peak_speed_tracker_units_s,straight_line_dist,-0.022943349324024444,0.1125816640431289
0,peak_speed_tracker_units_s,curvature_index,-0.13040474110491382,0.09047604349928495
0,peak_speed_tracker_units_s,max_lateral_deviation,-0.09903381440934698,0.13049168184203216
0,peak_speed_tracker_units_s,n_submovements,-0.12677448832299454,-0.1393998559068605
0,peak_speed_tracker_units_s,end_x,0.3263517543867847,0.1600663454367298
0,peak_speed_tracker_units_s,end_y,-0.054474895987098704,0.08401288105599967
0,time_to_peak_speed,path_length,-0.0025823134747293714,0.04190486644259849
0,time_to_peak_speed,straight_line_dist,0.018309482294434902,0.0885107655773735
0,time_to_peak_speed,curvature_index,0.0014414994019633263,0.07083616988681628
0,time_to_peak_speed,max_lateral_deviation,0.009702321837383081,0.07232289127540519
0,time_to_peak_speed,n_submovements,-0.08989822115361848,-0.09252806594639987
0,time_to_peak_speed,end_x,-0.06589363940011858,-0.064880285299756
0,time_to_peak_speed,end_y,0.03455419439342995,0.08026720455134513
0,path_length,straight_line_dist,0.9397884684813045,0.9576303795384631
0,path_length,curvature_index,0.39853833204269,0.3433312516158135
0,path_length,max_lateral_deviation,0.4091655478635865,0.29997427904153423
0,path_length,n_submovements,0.019172990152608264,0.0423201554473579
