model_family,latent_dim,feature_view,mean_ks,energy_distance,mmd_rbf
conditional_ae,3,original,0.2875782467460616,0.8014886680346696,0.14141003392147813
conditional_ae,3,reduced,0.28137970179785643,0.7043935707004624,0.14119334083809335
conditional_ae,8,original,0.2586862157259097,0.6202242242032429,0.11113481142118398
conditional_ae,8,reduced,0.2574555484847489,0.5376610992645257,0.11428472918409609
cvae,3,original,0.277794512736878,0.7454307783136663,0.13093505803964908
cvae,3,reduced,0.27259970903563213,0.6610869420332243,0.12925752313938035
cvae,8,original,0.2194040015986948,0.43045115897281766,0.06749342391175368
cvae,8,reduced,0.21941321852624585,0.39131109249977464,0.06871292172179423
spline_pca,3,original,0.32512558828878874,0.9774327846489692,0.18146673357380652
spline_pca,3,reduced,0.3264442375974473,0.8824024112278679,0.1773660652553875
spline_pca,8,original,0.25479443629207865,0.7347145035712234,0.11529063380077319
spline_pca,8,reduced,0.25509267307999994,0.6186677500141926,0.12035447687937269
unconditional_vae,3,original,0.28458734333440366,0.7475664183202902,0.13029801153992232
unconditional_vae,3,reduced,0.2767669196569844,0.6503755507097867,0.12606377631593926
unconditional_vae,8,original,0.21512115987954528,0.4110144331973188,0.06388130250594583
unconditional_vae,8,reduced,0.21560003580134665,0.37615717318082276,0.06624418004619932
