latent_dim,target,arm,pooled_r2,mae
3,curvature_index_mean,cvae_probe,-0.24233272798469238,0.01573655444338457
3,curvature_index_mean,development_constant,-0.19878522204786497,0.015715778847694335
3,curvature_index_mean,direct_context,0.10352986469617187,0.008086585024790633
3,curvature_index_sd,cvae_probe,-0.12345152905544825,0.05419299601313308
3,curvature_index_sd,development_constant,-0.12356503210862702,0.05411943796367403
3,curvature_index_sd,direct_context,-0.11614150886887153,0.039296494581096485
3,initiation_time_s_mean,cvae_probe,0.7226725232887964,0.014778157736930668
3,initiation_time_s_mean,development_constant,-0.11572525170944714,0.030381192462239404
3,initiation_time_s_mean,direct_context,0.9115361719368679,0.009274765744360845
3,initiation_time_s_sd,cvae_probe,-0.010767793792181438,0.0137174715855804
3,initiation_time_s_sd,development_constant,-0.04610241030850948,0.014028039067715522
3,initiation_time_s_sd,direct_context,0.40497323297502885,0.010928194745774583
3,max_lateral_deviation_mean,cvae_probe,0.05988906979200148,0.18834806285052744
3,max_lateral_deviation_mean,development_constant,-0.1138153861432658,0.2138667539729581
3,max_lateral_deviation_mean,direct_context,0.9628798991285201,0.038303007792197634
3,max_lateral_deviation_sd,cvae_probe,-0.4262207497727415,0.11167024254310769
3,max_lateral_deviation_sd,development_constant,-0.2153357528484987,0.10394045872296069
3,max_lateral_deviation_sd,direct_context,0.27222326617259407,0.06695761603826796
3,movement_time_s_mean,cvae_probe,0.026147646610100012,0.0364442219228183
3,movement_time_s_mean,development_constant,-0.09447728304811664,0.048762006937175216
3,movement_time_s_mean,direct_context,0.924468009833891,0.01104942677578146
3,movement_time_s_sd,cvae_probe,-0.10917485153822688,0.030950604499547785
3,movement_time_s_sd,development_constant,-0.10032126529847174,0.03244078483683542
3,movement_time_s_sd,direct_context,0.01657489914614252,0.027879019640692393
3,n_submovements_mean,cvae_probe,-0.3048902112989194,0.06774217838799614
3,n_submovements_mean,development_constant,-0.23439231723011722,0.06645986803327505
3,n_submovements_mean,direct_context,0.8830840832761294,0.02162917331482167
3,n_submovements_sd,cvae_probe,-0.35437352428691365,0.13867634033388665
3,n_submovements_sd,development_constant,-0.282181899150554,0.13441114364911508
3,n_submovements_sd,direct_context,0.49718905993137713,0.07928217167560739
3,path_length_mean,cvae_probe,-0.3879792255308199,0.3857895202418917
3,path_length_mean,development_constant,-0.25916971379885845,0.36905959437751085
3,path_length_mean,direct_context,0.42588662239596564,0.16235443379203604
3,path_length_sd,cvae_probe,-0.09871080893541406,0.6769962196819842
3,path_length_sd,development_constant,-0.09305006053037967,0.672800730643301
3,path_length_sd,direct_context,0.03083011909391009,0.43754868935823765
3,peak_speed_tracker_units_s_mean,cvae_probe,0.35639773476042924,7.743536922834447
3,peak_speed_tracker_units_s_mean,development_constant,-0.031971228408443464,11.875679048106917
3,peak_speed_tracker_units_s_mean,direct_context,0.9760682559025359,1.7343994046161288
3,peak_speed_tracker_units_s_sd,cvae_probe,-0.10326476579683426,2.6266126738925046
3,peak_speed_tracker_units_s_sd,development_constant,-0.08942194549115734,2.646218813161273
3,peak_speed_tracker_units_s_sd,direct_context,0.46667877502045707,1.7073778429041593
8,curvature_index_mean,cvae_probe,-0.21546996511153158,0.015725141483867222
8,curvature_index_mean,development_constant,-0.19878522204786497,0.015715778847694335
8,curvature_index_mean,direct_context,0.10352986469617187,0.008086585024790633
8,curvature_index_sd,cvae_probe,-0.1411834958722884,0.054569841724521985
8,curvature_index_sd,development_constant,-0.12356503210862702,0.05411943796367403
8,curvature_index_sd,direct_context,-0.11614150886887153,0.039296494581096485
8,initiation_time_s_mean,cvae_probe,0.7067719209634551,0.014711270608806745
8,initiation_time_s_mean,development_constant,-0.11572525170944714,0.030381192462239404
8,initiation_time_s_mean,direct_context,0.9115361719368679,0.009274765744360845
8,initiation_time_s_sd,cvae_probe,-0.03155966353925521,0.014448567554301581
8,initiation_time_s_sd,development_constant,-0.04610241030850948,0.014028039067715522
8,initiation_time_s_sd,direct_context,0.40497323297502885,0.010928194745774583
8,max_lateral_deviation_mean,cvae_probe,0.31938523693335386,0.159231909392799
8,max_lateral_deviation_mean,development_constant,-0.1138153861432658,0.2138667539729581
8,max_lateral_deviation_mean,direct_context,0.9628798991285201,0.038303007792197634
8,max_lateral_deviation_sd,cvae_probe,-0.21432805629174742,0.09988569426607662
8,max_lateral_deviation_sd,development_constant,-0.2153357528484987,0.10394045872296069
8,max_lateral_deviation_sd,direct_context,0.27222326617259407,0.06695761603826796
8,movement_time_s_mean,cvae_probe,0.11308166025368116,0.037349244251387366
8,movement_time_s_mean,development_constant,-0.09447728304811664,0.048762006937175216
8,movement_time_s_mean,direct_context,0.924468009833891,0.01104942677578146
8,movement_time_s_sd,cvae_probe,-0.1050809113855417,0.03261743915598576
8,movement_time_s_sd,development_constant,-0.10032126529847174,0.03244078483683542
8,movement_time_s_sd,direct_context,0.01657489914614252,0.027879019640692393
