latent_dim,comparator,metric,n_participants,cvae_mean,comparator_mean,cvae_median,comparator_median,comparator_minus_cvae_mean,comparator_minus_cvae_median,cvae_better_participants,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_difference_decimals,wilcoxon_method,scipy_version,wilcoxon_p_fdr_bh,significant_fdr_0_05
3,conditional_ae,trajectory_mse,28,0.17698055415872574,0.16966130228738585,0.091866923304537,0.09501980986418118,-0.0073192518713399235,-0.000768745148731792,14,157.0,0.3052256628870964,12,auto; two-sided; pratt,1.16.3,0.38846902549266815,False
3,conditional_ae,movement_time_mae_ms,28,43.4457698803564,44.08681820624582,39.52415067215945,40.394824066227244,0.6410483258894227,0.26659262203495615,17,135.0,0.12562106549739838,12,auto; two-sided; pratt,1.16.3,0.1803789658424182,False
3,conditional_ae,initiation_time_mae_ms,28,37.83163642461849,37.752816420919366,35.25636541530294,35.24177620394815,-0.07882000369912731,0.23839555615226615,18,181.0,0.6295278295874596,12,auto; two-sided; pratt,1.16.3,0.6920620636576462,False
3,conditional_ae,mean_ks,28,0.27779451273687794,0.2875782467460615,0.25972222222222213,0.2644781144781144,0.009783734009183568,0.008982616426436607,20,119.0,0.05638675391674042,12,auto; two-sided; pratt,1.16.3,0.09021880626678466,False
3,conditional_ae,ks_n_submovements,28,0.04970399402395741,0.04780704837701176,0.0194444444444444,0.0202441077441077,-0.00189694564694565,0.0,12,174.5,0.6302708079739279,12,auto; two-sided; pratt,1.16.3,0.6920620636576462,False
3,conditional_ae,energy_distance,28,0.7454307783136663,0.8014886680346696,0.5851803569642049,0.5846570329472109,0.05605788972100332,0.06083194186316873,22,97.0,0.014598868787288666,12,auto; two-sided; pratt,1.16.3,0.027251221736272178,True
3,conditional_ae,mmd_rbf,28,0.13093505803964905,0.14141003392147808,0.10896040151202205,0.11190061824899605,0.010474975881829053,0.013275413577651699,20,107.0,0.028050199151039124,12,auto; two-sided; pratt,1.16.3,0.049087848514318466,True
3,unconditional_vae,trajectory_mse,28,0.17698055415872574,0.14829944149161972,0.091866923304537,0.09771869171214684,-0.02868111266710604,-0.011394618988388484,6,63.0,0.0008751451969146729,12,auto; two-sided; pratt,1.16.3,0.0017502903938293457,True
3,unconditional_vae,movement_time_mae_ms,28,43.4457698803564,42.90838283872696,39.52415067215945,38.61667993879473,-0.537387041629449,-0.18299845370370527,13,161.0,0.35016296058893204,12,auto; two-sided; pratt,1.16.3,0.43575835095511545,False
3,unconditional_vae,initiation_time_mae_ms,28,37.83163642461849,37.91676315776151,35.25636541530294,34.590374140670626,0.0851267331430162,-1.0119803891989072,8,123.0,0.06981273740530014,12,auto; two-sided; pratt,1.16.3,0.10859759151935577,False
3,unconditional_vae,mean_ks,28,0.27779451273687794,0.2845873433344036,0.25972222222222213,0.2630892255892255,0.006792830597525695,0.007281144781144749,20,95.5,0.014352221824079804,12,auto; two-sided; pratt,1.16.3,0.027251221736272178,True
