latent_dim,control,metric,own_mean,control_mean,control_minus_own,own_better_n,n_subjects,wilcoxon_p,p_fdr_bh
3,population,mean_ks,0.27779451273687794,0.3109560833500485,0.03316157061317049,22,28,0.00021760910749435425,0.00023739175363020462
3,population,energy_distance,0.7454307783136663,1.0159188309381268,0.2704880526244607,23,28,0.0001353248953819275,0.00016238987445831298
3,population,mmd_rbf,0.13093505803964905,0.17450236863530175,0.043567310595652706,23,28,0.0003814026713371277,0.0003814026713371277
3,wrong,mean_ks,0.27779451273687794,0.33797733877547065,0.06018282603859267,27,28,5.21540641784668e-08,2.086162567138672e-07
3,wrong,energy_distance,0.7454307783136663,1.2726853628030663,0.5272545844894001,26,28,7.450580596923828e-08,2.2351741790771484e-07
3,wrong,mmd_rbf,0.13093505803964905,0.22027265406197527,0.08933759602232624,27,28,4.0978193283081055e-07,8.195638656616211e-07
8,population,mean_ks,0.2194040015986948,0.2896360483553454,0.07023204675665065,27,28,1.4156103134155273e-07,3.3974647521972657e-07
8,population,energy_distance,0.4304511589728176,0.9186004126927239,0.48814925371990625,27,28,8.195638656616211e-07,1.2293457984924316e-06
8,population,mmd_rbf,0.06749342391175364,0.14899264398398965,0.08149922007223599,27,28,2.2873282432556152e-06,3.049770991007487e-06
8,wrong,mean_ks,0.2194040015986948,0.31720338768292494,0.09779938608423021,27,28,5.21540641784668e-08,2.086162567138672e-07
8,wrong,energy_distance,0.4304511589728176,1.195902598046514,0.7654514390736967,27,28,2.2351741790771484e-08,2.086162567138672e-07
8,wrong,mmd_rbf,0.06749342391175364,0.1994893284943909,0.1319959045826373,27,28,5.21540641784668e-07,8.940696716308594e-07
