metric,n3_mean,n8_mean,n8_better_n,p,p_fdr_bh
ks_mj_fit_error,0.33902488547608745,0.30781348208837106,16,0.08754992428844836,0.2626497728653451
ks_mj_first_duration_s,0.4549663272471607,0.4092010758067722,18,0.05872962198119336,0.2626497728653451
ks_mj_first_amplitude,0.3774485428293894,0.3513339100679054,17,0.06334333442052167,0.2626497728653451
ks_mj_secondary_amplitude_fraction,0.2865426323209835,0.2855893814640875,14,0.8109017789463802,0.8109017789463802
ks_mj_mean_overlap_pct,0.2670666195310173,0.2683546241620451,10,0.5015303559800602,0.6448247434029346
count_total_variation,0.21389053011897277,0.23226287891332315,10,0.2136526153534255,0.34779237529222534
count_jsd,0.07603845163693809,0.08670546103141029,11,0.1982097442082693,0.34779237529222534
count_total_variation_bic,0.17890263002295925,0.15753526455447017,12,0.6080288233875359,0.6840324263109779
count_jsd_bic,0.05856555797514585,0.04267109178930829,17,0.23186158352815023,0.34779237529222534
