latent_dim,metric,observed,reference_mean,reference_95
3,ks_mj_fit_error,0.3390248854760874,0.2660021210240997,0.28166294884334475
8,ks_mj_fit_error,0.307813482088371,0.2660021210240997,0.28166294884334475
3,ks_mj_first_duration_s,0.4549663272471608,0.26729081559535894,0.28251102824316177
8,ks_mj_first_duration_s,0.4092010758067722,0.26729081559535894,0.28251102824316177
3,ks_mj_first_amplitude,0.3774485428293894,0.26676133270587477,0.28268579371107455
8,ks_mj_first_amplitude,0.3513339100679054,0.26676133270587477,0.28268579371107455
3,ks_mj_secondary_amplitude_fraction,0.2865426323209835,0.19670070467305245,0.21187187797081322
8,ks_mj_secondary_amplitude_fraction,0.2855893814640874,0.19670070467305245,0.21187187797081322
3,ks_mj_mean_overlap_pct,0.2670666195310172,0.19540206782192346,0.20938744318096617
8,ks_mj_mean_overlap_pct,0.2683546241620451,0.19540206782192346,0.20938744318096617
3,count_total_variation,0.2138905301189727,0.14593770836231967,0.1631878080190237
8,count_total_variation,0.2322628789133231,0.14593770836231967,0.1631878080190237
3,count_jsd,0.0760384516369381,0.046555968015707785,0.05430113955739225
8,count_jsd,0.0867054610314102,0.046555968015707785,0.05430113955739225
