latent_dim,seed,reconstruction_mse_tracker_units2,movement_time_s_r2,movement_time_s_mae_ms,initiation_time_s_r2,initiation_time_s_mae_ms,timing_metric_type,fingerprint_balanced_accuracy,fingerprint_chance,fingerprint_n_subjects,fingerprint_n_query_trials,probe_positive_r2,probe_targets,mean_ks,mean_ks_rejected_fdr,median_energy_distance,mean_mmd_rbf
2,42,0.1503627747297287,0.4863076210021972,45.0306396484375,-0.1963136196136474,56.02401351928711,prediction_from_shape,0.3549621414789954,0.1428571428571428,7,624,2,14,0.2970588036599272,7.714285714285714,1.2109788106756634,0.1795949744619771
2,43,0.160825029015541,0.4721267819404602,46.71604919433594,0.0251365900039672,54.04500579833984,prediction_from_shape,0.3627186795726121,0.1428571428571428,7,624,3,14,0.3176411993125476,8.285714285714286,1.3207860823417916,0.208398166863954
2,44,0.2107289582490921,0.576982855796814,39.30147552490234,0.098803699016571,50.66363525390625,prediction_from_shape,0.3341484670136356,0.1428571428571428,7,624,4,14,0.3286196637320233,9.0,1.4115313457118406,0.2219338027293565
3,42,0.0876009240746498,0.461378276348114,42.92072296142578,-0.0479798316955566,55.800201416015625,prediction_from_shape,0.417477341634645,0.1428571428571428,7,624,5,14,0.2581284014570532,7.428571428571429,0.8068570691851344,0.1208939948840456
3,43,0.088677316904068,0.357014000415802,48.04573822021485,-0.1126576662063598,59.14570999145508,prediction_from_shape,0.4114905069961249,0.1428571428571428,7,624,4,14,0.2720573849787333,7.428571428571429,0.8536522246964169,0.1398493649943603
3,44,0.0893396064639091,0.5471742153167725,40.58447265625,0.0005175471305847,51.47157287597656,prediction_from_shape,0.4256120596008236,0.1428571428571428,7,624,6,14,0.2631333735968568,7.0,0.7434143599882503,0.1255881982415758
8,42,0.018774950876832,0.7569888830184937,29.288095474243164,0.1217538118362426,48.21622085571289,prediction_from_shape,0.6229745285925061,0.1428571428571428,7,624,4,14,0.1932477868573374,4.285714285714286,0.5731755170755299,0.0635500721598512
8,43,0.0189835242927074,0.7575113773345947,29.967628479003903,0.0169389843940734,50.799224853515625,prediction_from_shape,0.5988938340061936,0.1428571428571428,7,624,3,14,0.1812625654620036,4.857142857142857,0.4056846850391009,0.0556419365548664
8,44,0.0174988321959972,0.7872270941734314,28.11693382263184,0.1294230222702026,50.31206893920898,prediction_from_shape,0.6198712648150851,0.1428571428571428,7,624,3,14,0.1774995811512665,3.7142857142857135,0.4302633810183769,0.0503359827565546
