outer_fold,seed,subject,ks_mj_fit_error,ks_mj_first_duration_s,ks_mj_first_amplitude,ks_mj_secondary_amplitude_fraction,ks_mj_mean_overlap_pct,count_total_variation,count_jsd,count_total_variation_bic,count_jsd_bic
0,42,subject05,0.5222222222222223,0.4777777777777778,0.4111111111111111,0.4,0.4,0.4,0.16131780520871783,0.2777777777777778,0.06350010658814405
0,42,subject13,0.3333333333333333,0.28888888888888886,0.26666666666666666,0.2111111111111111,0.18888888888888888,0.18888888888888888,0.044525453903740735,0.1333333333333333,0.01292051876348399
0,42,subject19,0.3,0.2777777777777778,0.4777777777777778,0.43333333333333335,0.4111111111111111,0.4111111111111111,0.1710667073629741,0.45555555555555555,0.1790115704285112
0,42,subject24,0.32222222222222224,0.24444444444444444,0.25555555555555554,0.2,0.23333333333333334,0.27777777777777773,0.08406415373784418,0.033333333333333326,0.0019502364332122518
0,42,subject27,0.3111111111111111,0.34444444444444444,0.6666666666666666,0.43333333333333335,0.43333333333333335,0.34444444444444444,0.11624476686098802,0.11111111111111108,0.018421969832265298
0,42,subject34,0.37777777777777777,0.24444444444444444,0.24444444444444444,0.12222222222222222,0.06666666666666667,0.03333333333333332,0.006233407478682613,0.11111111111111116,0.009892259842974524
0,42,subject35,0.28604651162790695,0.5720930232558139,0.21627906976744185,0.23953488372093024,0.09767441860465116,0.03023255813953487,0.0023493758931331585,0.06511627906976745,0.012645519380451933
0,43,subject05,0.4444444444444444,0.37777777777777777,0.5777777777777777,0.6,0.6,0.6000000000000001,0.29580734804468173,0.2777777777777778,0.06350010658814405
0,43,subject13,0.4777777777777778,0.25555555555555554,0.36666666666666664,0.3111111111111111,0.34444444444444444,0.28888888888888886,0.07913695487336507,0.1333333333333333,0.01292051876348399
0,43,subject19,0.25555555555555554,0.3333333333333333,0.3888888888888889,0.08888888888888889,0.08888888888888889,0.011111111111111092,0.0002604565799825991,0.25555555555555554,0.05118638317292985
0,43,subject24,0.26666666666666666,0.3333333333333333,0.2,0.17777777777777778,0.15555555555555556,0.033333333333333354,0.008262649250374308,0.033333333333333326,0.0019502364332122518
0,43,subject27,0.4,0.3111111111111111,0.25555555555555554,0.23333333333333334,0.23333333333333334,0.14444444444444443,0.02035477295943424,0.011111111111111092,0.0002604565799825991
0,43,subject34,0.37777777777777777,0.36666666666666664,0.43333333333333335,0.2222222222222222,0.13333333333333333,0.13333333333333333,0.02655373460552559,0.21111111111111114,0.03396708031012058
0,43,subject35,0.3883720930232558,0.7953488372093023,0.313953488372093,0.3023255813953488,0.26976744186046514,0.2697674418604651,0.07655920830417501,0.06511627906976745,0.012645519380451933
0,44,subject05,0.43333333333333335,0.18888888888888888,0.3333333333333333,0.14444444444444443,0.1,0.09999999999999999,0.014378460478078536,0.2777777777777778,0.06350010658814405
0,44,subject13,0.36666666666666664,0.24444444444444444,0.34444444444444444,0.37777777777777777,0.3888888888888889,0.38888888888888884,0.12686887580159398,0.1333333333333333,0.01292051876348399
0,44,subject19,0.37777777777777777,0.18888888888888888,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.11111111111111108,0.018421969832265298,0.15555555555555556,0.020129672687349113
0,44,subject24,0.34444444444444444,0.5888888888888889,0.4111111111111111,0.35555555555555557,0.2222222222222222,0.21111111111111108,0.0364748706625137,0.033333333333333326,0.0019502364332122518
0,44,subject27,0.35555555555555557,0.3111111111111111,0.5222222222222223,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.11624476686098802,0.11111111111111108,0.018421969832265298
0,44,subject34,0.5,0.5888888888888889,0.4,0.12222222222222222,0.15555555555555556,0.13333333333333333,0.07295824991854845,0.11111111111111116,0.009892259842974524
0,44,subject35,0.48604651162790696,0.772093023255814,0.2069767441860465,0.2069767441860465,0.1558139534883721,0.13023255813953485,0.028063732472483303,0.06511627906976745,0.012645519380451933
1,42,subject08,0.23333333333333334,0.43333333333333335,0.24444444444444444,0.23333333333333334,0.25555555555555554,0.23333333333333334,0.06998997570487041,0.044444444444444425,0.022586570521593418
