threads,trajectory_alpha,timing_alpha,max_trajectory_coefficient,max_timing_coefficient,energy,saved_energy,mmd,saved_mmd
1,0.0,0.0,0.2962115705013275,0.0629013180732727,4.055111697238993,4.055317064382633,0.5198418219931865,0.519895795453173
2,0.0,0.0,0.33723184466362,0.0629013180732727,4.055317064382633,4.055317064382633,0.519895795453173,0.519895795453173
4,0.0,0.0,0.33723184466362,0.0629013180732727,4.055317064382633,4.055317064382633,0.519895795453173,0.519895795453173
8,0.0,0.0,0.33723184466362,0.0629013180732727,4.055317064382633,4.055317064382633,0.519895795453173,0.519895795453173
16,0.0,0.0,0.33723184466362,0.0629013180732727,4.055317064382633,4.055317064382633,0.519895795453173,0.519895795453173
