fold,seed,subject,arm,donor,mean_ks,energy_distance,mmd_rbf
3,42,subject02,own,subject02,0.25909090909090904,0.6801764201342579,0.11240852555159508
3,42,subject02,population,training_mean,0.28787878787878785,0.5517915459543934,0.063852407366917
3,42,subject02,wrong,subject11,0.3196969696969697,0.9953446647138988,0.12663409738049758
3,42,subject02,wrong,subject22,0.25757575757575757,0.42397211134326573,0.052843058179906977
3,42,subject02,wrong,subject30,0.225,0.4438802964338544,0.0248520493371156
3,42,subject02,wrong,subject33,0.23106060606060608,0.4933622523484429,0.03904435538720563
3,42,subject02,wrong,subject37,0.25984848484848483,0.6278639892992048,0.061713775428211104
3,42,subject02,wrong,subject40,0.25681818181818183,0.6694915993254766,0.0707564605304879
3,42,subject11,own,subject11,0.22095959595959594,0.5712869081190677,0.09461996692476071
3,42,subject11,population,training_mean,0.2303030303030303,0.8348681047015996,0.134047753022286
3,42,subject11,wrong,subject02,0.3421717171717172,1.98533570801496,0.31263968014956856
3,42,subject11,wrong,subject22,0.31186868686868685,1.7889643815413439,0.2780231331568753
3,42,subject11,wrong,subject30,0.2765151515151515,0.8915570593585285,0.13772199580804134
3,42,subject11,wrong,subject33,0.25378787878787884,0.9002918848298238,0.1419793403452413
3,42,subject11,wrong,subject37,0.3593434343434343,1.4164242603782915,0.22076207675881032
3,42,subject11,wrong,subject40,0.2727272727272727,0.8880182239218075,0.14686501469567592
3,42,subject22,own,subject22,0.21287878787878792,0.3079531592418552,0.05501613152477414
3,42,subject22,population,training_mean,0.24368686868686867,0.5454906749931601,0.10197475055339023
3,42,subject22,wrong,subject02,0.2924242424242424,0.8714895047631628,0.17151450969280402
3,42,subject22,wrong,subject11,0.2866161616161616,1.096229684295254,0.21100122117497044
3,42,subject22,wrong,subject30,0.3401515151515151,1.1107967982849218,0.2078675954885556
3,42,subject22,wrong,subject33,0.30404040404040406,0.8510727889024214,0.15607413814297322
3,42,subject22,wrong,subject37,0.35176767676767673,1.3371009811608006,0.2547555537669417
3,42,subject22,wrong,subject40,0.29015151515151516,0.7932235520010993,0.14966832930651808
3,42,subject30,own,subject30,0.15505050505050508,0.20849719660083554,0.0327355628626701
3,42,subject30,population,training_mean,0.2828282828282828,0.5908461513657661,0.10654267854028077
3,42,subject30,wrong,subject02,0.32373737373737377,1.421428545769262,0.2821384601246185
3,42,subject30,wrong,subject11,0.2833333333333333,0.7575190221790713,0.1412264675329724
3,42,subject30,wrong,subject22,0.3613636363636364,1.1112545254898367,0.21385896233521395
3,42,subject30,wrong,subject33,0.22525252525252526,0.45453893309806626,0.08282162139561333
3,42,subject30,wrong,subject37,0.2406565656565656,0.4296838062361288,0.07863294149975719
3,42,subject30,wrong,subject40,0.25757575757575757,0.6136478689756206,0.11485291028906319
3,42,subject33,own,subject33,0.15922865013774104,0.18955697257973103,0.025166412478443867
3,42,subject33,population,training_mean,0.21267217630853993,0.3355355758531058,0.0511570336769992
3,42,subject33,wrong,subject02,0.2611570247933884,1.044150231696325,0.18544379573373293
3,42,subject33,wrong,subject11,0.23236914600550965,0.5722061872367212,0.09269074909018149
3,42,subject33,wrong,subject22,0.26742424242424245,0.5457884829436095,0.092083127166812
3,42,subject33,wrong,subject30,0.14207988980716255,0.156405543222236,0.01624202067701086
3,42,subject33,wrong,subject37,0.20110192837465563,0.45502979022802403,0.06904239702288428
3,42,subject33,wrong,subject40,0.1915977961432507,0.3630934146314173,0.05798791517521851
3,42,subject37,own,subject37,0.227020202020202,0.45621097646782793,0.0754380093496475
3,42,subject37,population,training_mean,0.35328282828282825,1.5985272243687083,0.2645311865799209
3,42,subject37,wrong,subject02,0.4017676767676768,1.7317104874366227,0.3050010736575113
3,42,subject37,wrong,subject11,0.36818181818181817,1.6617427184517926,0.2770717871774159
3,42,subject37,wrong,subject22,0.3911616161616162,1.5616428908550835,0.2660728092092154
3,42,subject37,wrong,subject30,0.29368686868686866,0.8764520053237135,0.1445246749515715
3,42,subject37,wrong,subject33,0.3194444444444444,1.314247384576415,0.22737470715884422
3,42,subject37,wrong,subject40,0.2851010101010101,1.285761669122468,0.22617366043948728
3,42,subject40,own,subject40,0.21717171717171715,0.2955767704928127,0.04657284104007753
3,42,subject40,population,training_mean,0.25202020202020203,0.38062145105284584,0.06303019285786626
3,42,subject40,wrong,subject02,0.3926767676767677,1.6740276432686891,0.3049139826642615
3,42,subject40,wrong,subject11,0.19949494949494948,0.23416917565150763,0.03511080667075284
3,42,subject40,wrong,subject22,0.33838383838383834,1.1258772101012537,0.20600110474794686
3,42,subject40,wrong,subject30,0.24949494949494946,0.5994009807601937,0.10197436899585965
3,42,subject40,wrong,subject33,0.2396464646464646,0.36809514302797686,0.05879983491614704
3,42,subject40,wrong,subject37,0.33409090909090905,1.1123569825326043,0.1965424873964169
