fold,seed,subject,arm,donor,mean_ks,energy_distance,mmd_rbf
0,44,subject05,own,subject05,0.2133838383838384,0.21550495307429696,0.03712897216992839
0,44,subject05,population,training_mean,0.3047979797979798,0.8058034170674242,0.16187151580782755
0,44,subject05,wrong,subject13,0.20126262626262623,0.4598756177939385,0.09138120296442476
0,44,subject05,wrong,subject19,0.32146464646464645,0.7459290324006616,0.1505901287971445
0,44,subject05,wrong,subject24,0.32196969696969696,0.7776591593308031,0.15458259945699626
0,44,subject05,wrong,subject27,0.37171717171717167,1.2916176387415823,0.2687293638661692
0,44,subject05,wrong,subject34,0.2388888888888889,0.5638008110614612,0.1137869704668778
0,44,subject05,wrong,subject35,0.3643939393939393,1.4283717002001,0.28271076108447213
0,44,subject13,own,subject13,0.175,0.2022923815764477,0.0339567925905766
0,44,subject13,population,training_mean,0.3232323232323232,0.9080545376489026,0.16915961652499845
0,44,subject13,wrong,subject05,0.2651515151515152,0.7705800644365657,0.1495882421634258
0,44,subject13,wrong,subject19,0.2904040404040404,0.9046843438912315,0.1694471648878526
0,44,subject13,wrong,subject24,0.33787878787878783,0.9812451877302544,0.18072633332713084
0,44,subject13,wrong,subject27,0.4068181818181818,1.414844912882323,0.28353620146580927
0,44,subject13,wrong,subject34,0.2527777777777778,0.4970520543119834,0.0935700627573034
0,44,subject13,wrong,subject35,0.3527777777777778,1.105980132859043,0.20100268371344499
0,44,subject19,own,subject19,0.13813131313131313,0.08841990451047099,0.008160716398164958
0,44,subject19,population,training_mean,0.28787878787878785,0.9010393746838052,0.17141763775731855
0,44,subject19,wrong,subject05,0.25631313131313127,0.6432052810972118,0.12554603753333737
0,44,subject19,wrong,subject13,0.22676767676767673,0.447535260763098,0.07417377397488112
0,44,subject19,wrong,subject24,0.28888888888888886,0.9130925520615567,0.17388456813100228
0,44,subject19,wrong,subject27,0.376010101010101,1.2301676224841063,0.25181236694208864
0,44,subject19,wrong,subject34,0.24999999999999997,0.5016820572032161,0.0923901216620534
0,44,subject19,wrong,subject35,0.31969696969696965,1.3751301213094727,0.25075591584144397
0,44,subject24,own,subject24,0.14772727272727268,0.1316022866190032,0.011650533865964152
0,44,subject24,population,training_mean,0.17373737373737375,0.20926969800023398,0.026331760071776844
0,44,subject24,wrong,subject05,0.2515151515151515,0.5705089572316728,0.09953248995687503
0,44,subject24,wrong,subject13,0.2775252525252525,0.6754180855045093,0.11318569373093834
0,44,subject24,wrong,subject19,0.2580808080808081,0.7909896910314043,0.14620411679999956
0,44,subject24,wrong,subject27,0.22222222222222224,0.6786351813440019,0.1293735143548861
0,44,subject24,wrong,subject34,0.2638888888888889,0.45325554688530767,0.07576615800679498
0,44,subject24,wrong,subject35,0.18712121212121213,0.38615469276256054,0.05746423355877117
0,44,subject27,own,subject27,0.26010101010101006,0.5298906386694417,0.10274257750343618
0,44,subject27,population,training_mean,0.32878787878787874,1.1074275243146872,0.21916459802830512
0,44,subject27,wrong,subject05,0.38813131313131316,2.004597994416396,0.41314822120467476
0,44,subject27,wrong,subject13,0.4181818181818182,1.9246276307001913,0.38894180144809365
0,44,subject27,wrong,subject19,0.3732323232323232,2.080591070053705,0.4297817957091722
0,44,subject27,wrong,subject24,0.33434343434343433,1.1856029167152373,0.2356771493392854
0,44,subject27,wrong,subject34,0.35681818181818187,1.3109615879702394,0.26552450360920077
0,44,subject27,wrong,subject35,0.33080808080808083,1.4543081370558189,0.2860735334135208
0,44,subject34,own,subject34,0.23838383838383842,0.3252824717353593,0.056944440015440856
0,44,subject34,population,training_mean,0.295959595959596,0.5351382793458557,0.09710128165382192
0,44,subject34,wrong,subject05,0.3176767676767676,1.0012826566713078,0.19329418857433345
0,44,subject34,wrong,subject13,0.23762626262626263,0.45863597364681885,0.08495023700316462
0,44,subject34,wrong,subject19,0.3335858585858586,0.9511594752385366,0.18188782097276146
0,44,subject34,wrong,subject24,0.32247474747474747,0.6736451912494412,0.12334618568467348
0,44,subject34,wrong,subject27,0.2641414141414141,0.4938554696255255,0.09678317014882742
0,44,subject34,wrong,subject35,0.3277777777777778,0.7034060487558458,0.13261432905960258
0,44,subject35,own,subject35,0.22137068357998588,0.4965881479937999,0.08368286879736586
0,44,subject35,population,training_mean,0.27167019027484146,0.7040015865075047,0.13648907141789257
0,44,subject35,wrong,subject05,0.34519027484143766,1.674716655795224,0.3411403365428235
0,44,subject35,wrong,subject13,0.36747709654686395,1.5672615487530912,0.3181268375888905
0,44,subject35,wrong,subject19,0.34031007751937986,1.9727636767037753,0.40374831389123456
0,44,subject35,wrong,subject24,0.2527307963354475,0.6641363948523606,0.12796701795275878
0,44,subject35,wrong,subject27,0.3268851303735025,1.1215395544522653,0.23247981120405992
0,44,subject35,wrong,subject34,0.33865398167723754,1.2536464202515472,0.2586957935077904
