metric,observed_uvae8,empirical_plugin_mean,empirical_plugin_95
ks_mj_fit_error,0.3284808154614791,0.2660021210240997,0.2816629488433447
ks_mj_first_duration_s,0.40594897135594815,0.2672908155953589,0.2825110282431617
ks_mj_first_amplitude,0.36230554091313166,0.2667613327058747,0.2826857937110745
ks_mj_secondary_amplitude_fraction,0.30231239167253016,0.1967007046730524,0.2118718779708132
ks_mj_mean_overlap_pct,0.27881329975659735,0.1954020678219234,0.2093874431809661
count_total_variation,0.2355178740222508,0.1459377083623196,0.1631878080190237
count_jsd,0.08890603229989669,0.0465559680157077,0.0543011395573922
