fold,seed,subject,arm,donor,mean_ks,energy_distance,mmd_rbf
2,43,subject01,own,subject01,0.1467171717171717,0.17032529009405817,0.033606267948435686
2,43,subject01,population,training_mean,0.19797979797979795,0.3529241020107672,0.06541909824807812
2,43,subject01,wrong,subject04,0.2017676767676768,0.4067434284257634,0.07493391091788304
2,43,subject01,wrong,subject10,0.25378787878787884,0.7017118674304847,0.13383996317011193
2,43,subject01,wrong,subject12,0.2936868686868687,0.9892559237007452,0.1855276789244179
2,43,subject01,wrong,subject15,0.2881313131313131,0.8874534155936433,0.16814405528755905
2,43,subject01,wrong,subject21,0.2628787878787879,0.7663577355982465,0.14367362985579002
2,43,subject01,wrong,subject36,0.29090909090909095,0.9314047657438156,0.17278420138708195
2,43,subject04,own,subject04,0.15883838383838383,0.12995905920809925,0.019301969237377925
2,43,subject04,population,training_mean,0.22828282828282828,0.3518872662767891,0.06327377085906216
2,43,subject04,wrong,subject01,0.2340909090909091,0.4863672859295942,0.0886487304731054
2,43,subject04,wrong,subject10,0.18535353535353535,0.2174323500682913,0.03925922697102058
2,43,subject04,wrong,subject12,0.2424242424242424,0.4712135719866746,0.08814977194738238
2,43,subject04,wrong,subject15,0.2340909090909091,0.5063588413559148,0.09768815174674428
2,43,subject04,wrong,subject21,0.3808080808080808,1.3705559675513324,0.24611173389435548
2,43,subject04,wrong,subject36,0.2386363636363636,0.4543454873307575,0.08296706907660578
2,43,subject10,own,subject10,0.1792929292929293,0.18334733525585767,0.032385842768683504
2,43,subject10,population,training_mean,0.27904040404040403,0.6516360890790729,0.12460847382659179
2,43,subject10,wrong,subject01,0.30252525252525253,0.9862485158250158,0.1845547438139089
2,43,subject10,wrong,subject04,0.22828282828282828,0.4295784352022891,0.08241687335566128
2,43,subject10,wrong,subject12,0.2416666666666667,0.4147955350735919,0.07969790368545526
2,43,subject10,wrong,subject15,0.24949494949494946,0.4489025612284845,0.08646134162929764
2,43,subject10,wrong,subject21,0.3969696969696969,1.7980054501431546,0.31700285129588546
2,43,subject10,wrong,subject36,0.2638888888888889,0.5690314638057608,0.10912065152581907
2,43,subject12,own,subject12,0.25757575757575757,0.5975885573868092,0.11339656750531968
2,43,subject12,population,training_mean,0.32626262626262625,1.306064779626022,0.24787449116585114
2,43,subject12,wrong,subject01,0.34570707070707074,1.707692520357516,0.31906248898512957
2,43,subject12,wrong,subject04,0.326010101010101,1.221309742021166,0.23726751097264842
2,43,subject12,wrong,subject10,0.2580808080808081,0.7893060118398121,0.15558922968489497
2,43,subject12,wrong,subject15,0.34671717171717176,1.2329834190533586,0.24186731882338275
2,43,subject12,wrong,subject21,0.375,2.3644107705278263,0.42054029503484014
2,43,subject12,wrong,subject36,0.2383838383838384,0.5531551517097233,0.10169767334407998
2,43,subject15,own,subject15,0.17649812734082396,0.22101591649995633,0.0353842890576237
2,43,subject15,population,training_mean,0.19296901600272387,0.3826745400640852,0.06915016449103673
2,43,subject15,wrong,subject01,0.2668369084099421,0.7503385824275179,0.1438940923746217
2,43,subject15,wrong,subject04,0.19283282260810353,0.3415183492776017,0.06199693917744098
2,43,subject15,wrong,subject10,0.14855294518215867,0.13578804461527927,0.01717376295639861
2,43,subject15,wrong,subject12,0.21212972420837592,0.43490029896712024,0.08261875063459878
2,43,subject15,wrong,subject21,0.34935308137555326,1.3097611855599167,0.24985926947654025
2,43,subject15,wrong,subject36,0.24164964249233908,0.5799114849146281,0.11355652942903405
2,43,subject21,own,subject21,0.3027777777777778,0.5359172754761263,0.09812209989069598
2,43,subject21,population,training_mean,0.31616161616161614,1.0023347105301927,0.17512216838851102
2,43,subject21,wrong,subject01,0.32803030303030306,0.9294235620113804,0.16356971936461995
2,43,subject21,wrong,subject04,0.3323232323232323,1.1163697641614547,0.19735201891460863
2,43,subject21,wrong,subject10,0.3656565656565656,1.1637134273766065,0.20719664828275686
2,43,subject21,wrong,subject12,0.3946969696969696,1.5317787106993306,0.26643716499178305
2,43,subject21,wrong,subject15,0.3795454545454545,1.4139064450287084,0.25824298595896733
2,43,subject21,wrong,subject36,0.3376262626262626,1.24405958133663,0.20705270599414827
2,43,subject36,own,subject36,0.13914141414141415,0.09310241971893607,0.007678682722483288
2,43,subject36,population,training_mean,0.26616161616161615,0.5937117926465723,0.11569349945132479
2,43,subject36,wrong,subject01,0.31212121212121213,0.8567162780447148,0.16190453891834722
2,43,subject36,wrong,subject04,0.2835858585858586,0.7286038066162148,0.1434070302982413
2,43,subject36,wrong,subject10,0.23535353535353537,0.600528753596719,0.11712394756563949
2,43,subject36,wrong,subject12,0.21489898989898987,0.3315492730172873,0.06002133560482348
2,43,subject36,wrong,subject15,0.2909090909090909,0.83137026839997,0.1670095201832572
2,43,subject36,wrong,subject21,0.3305555555555555,1.316148006457055,0.24883197316647465
