metric,cvae8_mean,uvae8_mean,uvae_better_n,n,p,q_bh_9
ks_mj_fit_error,0.30781348208837095,0.32848081546147917,12,28,0.17897877753244396,0.8642920791641455
ks_mj_first_duration_s,0.4092010758067722,0.4059489713559482,14,28,0.8554296908847144,0.8642920791641455
ks_mj_first_amplitude,0.3513339100679054,0.36230554091313166,12,28,0.40574798712036564,0.8642920791641455
ks_mj_secondary_amplitude_fraction,0.2855893814640874,0.30231239167253016,12,28,0.31610453059893484,0.8642920791641455
ks_mj_mean_overlap_pct,0.2683546241620451,0.27881329975659735,11,28,0.5161436534745161,0.8642920791641455
count_total_variation,0.23226287891332312,0.23551787402225083,13,28,0.8642920791641455,0.8642920791641455
count_jsd,0.08670546103141026,0.08890603229989667,14,28,0.811016065746601,0.8642920791641455
count_total_variation_bic,0.15753526455447014,0.1691989857687532,11,28,0.6648147604016882,0.8642920791641455
count_jsd_bic,0.04267109178930824,0.053373896565403825,11,28,0.1982097442082693,0.8642920791641455
