arm,mean_ks,energy_distance,mmd_rbf
own,0.21512115987954525,0.41101443319731873,0.06388130250594579
population,0.28412558054129894,0.8786814262650676,0.1416037385371205
wrong,0.31440531018668016,1.1683366383367428,0.1947811201560977
