family,fold,dim,seed,subject,passed,reference_difference,max_metric_difference,new_energy_distance,new_mmd_rbf,new_ks_initiation_time_s,new_ks_movement_time_s,new_ks_peak_speed_tracker_units_s,new_ks_time_to_peak_speed,new_ks_path_length,new_ks_straight_line_dist,new_ks_curvature_index,new_ks_max_lateral_deviation,new_ks_n_submovements,new_ks_end_x,new_ks_end_y,saved_energy_distance,saved_mmd_rbf,saved_ks_initiation_time_s,saved_ks_movement_time_s,saved_ks_peak_speed_tracker_units_s,saved_ks_time_to_peak_speed,saved_ks_path_length,saved_ks_straight_line_dist,saved_ks_curvature_index,saved_ks_max_lateral_deviation,saved_ks_n_submovements,saved_ks_end_x,saved_ks_end_y
spline_pca,0,2,2026,subject05,True,0.0,1.1102230246251565e-16,0.9294437086320393,0.217441044291806,0.5027777777777778,0.31666666666666665,0.13055555555555554,0.45555555555555555,0.3694444444444444,0.2611111111111111,0.21944444444444444,0.4805555555555555,0.011111111111111072,0.47500000000000003,0.2944444444444444,0.9294437086320392,0.217441044291806,0.5027777777777778,0.3166666666666666,0.1305555555555555,0.4555555555555555,0.3694444444444444,0.2611111111111111,0.2194444444444444,0.4805555555555555,0.0111111111111111,0.475,0.2944444444444444
spline_pca,0,2,2026,subject13,True,0.0,1.1102230246251565e-16,0.5397925944728823,0.128288325459877,0.3944444444444445,0.3083333333333333,0.16666666666666663,0.23888888888888887,0.35,0.2888888888888889,0.2138888888888888,0.24722222222222223,0.011111111111111072,0.11388888888888887,0.29166666666666663,0.5397925944728823,0.128288325459877,0.3944444444444444,0.3083333333333333,0.1666666666666666,0.2388888888888889,0.35,0.2888888888888888,0.2138888888888888,0.2472222222222222,0.0111111111111111,0.1138888888888888,0.2916666666666667
spline_pca,0,2,2026,subject19,True,0.0,1.1102230246251565e-16,0.5928435152655389,0.11207916149527952,0.33055555555555555,0.4305555555555555,0.4694444444444445,0.3666666666666667,0.1361111111111111,0.1361111111111111,0.0888888888888889,0.12777777777777777,0.0,0.21111111111111108,0.1361111111111111,0.5928435152655389,0.1120791614952795,0.3305555555555555,0.4305555555555556,0.4694444444444444,0.3666666666666666,0.1361111111111111,0.1361111111111111,0.0888888888888888,0.1277777777777777,0.0,0.2111111111111111,0.1361111111111111
spline_pca,0,2,2026,subject24,True,0.0,1.1102230246251565e-16,0.3009318725328871,0.051329141148766855,0.38333333333333336,0.16388888888888892,0.21666666666666667,0.16944444444444445,0.2611111111111111,0.22777777777777775,0.4277777777777778,0.21944444444444444,0.047222222222222276,0.27222222222222225,0.20833333333333337,0.3009318725328871,0.0513291411487668,0.3833333333333333,0.1638888888888889,0.2166666666666666,0.1694444444444444,0.2611111111111111,0.2277777777777777,0.4277777777777777,0.2194444444444444,0.0472222222222222,0.2722222222222222,0.2083333333333333
spline_pca,0,2,2026,subject27,True,0.0,1.1102230246251565e-16,1.6544935683027329,0.36020727371559946,0.6583333333333333,0.21388888888888888,0.5777777777777777,0.6583333333333334,0.14166666666666666,0.28888888888888886,0.8666666666666667,0.7111111111111111,0.011111111111111072,0.1972222222222222,0.36111111111111116,1.6544935683027329,0.3602072737155994,0.6583333333333333,0.2138888888888888,0.5777777777777777,0.6583333333333333,0.1416666666666666,0.2888888888888888,0.8666666666666667,0.7111111111111111,0.0111111111111111,0.1972222222222222,0.3611111111111111
spline_pca,0,2,2026,subject34,True,0.0,2.220446049250313e-16,1.0390303937568781,0.23697842036872352,0.24166666666666664,0.24999999999999994,0.29444444444444445,0.5666666666666667,0.43333333333333335,0.47777777777777786,0.7305555555555556,0.5555555555555556,0.0444444444444444,0.15833333333333333,0.48888888888888893,1.039030393756878,0.2369784203687235,0.2416666666666666,0.25,0.2944444444444444,0.5666666666666667,0.4333333333333333,0.4777777777777778,0.7305555555555555,0.5555555555555556,0.0444444444444444,0.1583333333333333,0.4888888888888889
spline_pca,0,2,2026,subject35,True,0.0,1.1102230246251565e-16,0.5669088154425013,0.10209965150898492,0.2596899224806201,0.4821705426356589,0.5073643410852713,0.09748062015503878,0.15271317829457365,0.17228682170542636,0.6007751937984497,0.3631782945736434,0.011627906976744207,0.1875968992248062,0.17228682170542636,0.5669088154425013,0.1020996515089849,0.2596899224806202,0.4821705426356589,0.5073643410852713,0.0974806201550387,0.1527131782945736,0.1722868217054263,0.6007751937984496,0.3631782945736434,0.0116279069767441,0.1875968992248062,0.1722868217054263
spline_pca,0,3,2026,subject05,True,0.0,1.465841337200402e-16,0.8630668029173432,0.21234349470826097,0.5638888888888889,0.3916666666666667,0.09722222222222221,0.4361111111111111,0.32222222222222224,0.23611111111111105,0.29444444444444445,0.4888888888888889,0.005555555555555647,0.3583333333333334,0.2583333333333333,0.8630668029173432,0.2123434947082609,0.5638888888888889,0.3916666666666666,0.0972222222222222,0.4361111111111111,0.3222222222222222,0.2361111111111111,0.2944444444444444,0.4888888888888889,0.0055555555555555,0.3583333333333333,0.2583333333333333
spline_pca,0,3,2026,subject13,True,0.0,9.71445146547012e-17,0.4325527808606653,0.1038775976439017,0.36666666666666664,0.23611111111111108,0.125,0.2722222222222222,0.27499999999999997,0.20277777777777775,0.2416666666666667,0.20277777777777772,0.0722222222222223,0.1972222222222222,0.20277777777777775,0.4325527808606653,0.1038775976439017,0.3666666666666666,0.2361111111111111,0.125,0.2722222222222222,0.275,0.2027777777777777,0.2416666666666666,0.2027777777777777,0.0722222222222222,0.1972222222222222,0.2027777777777777
spline_pca,0,3,2026,subject19,True,0.0,8.326672684688674e-17,0.5483185388309133,0.10245916596518279,0.41666666666666674,0.45000000000000007,0.30277777777777776,0.42500000000000004,0.13611111111111113,0.19166666666666665,0.11388888888888882,0.06944444444444445,0.025000000000000022,0.32222222222222224,0.18611111111111112,0.5483185388309133,0.1024591659651827,0.4166666666666667,0.45,0.3027777777777777,0.425,0.1361111111111111,0.1916666666666666,0.1138888888888888,0.0694444444444444,0.025,0.3222222222222222,0.1861111111111111
