outer_fold,subject,ks_mj_fit_error,ks_mj_first_duration_s,ks_mj_first_amplitude,ks_mj_secondary_amplitude_fraction,ks_mj_mean_overlap_pct,count_total_variation,count_jsd,count_total_variation_bic,count_jsd_bic
0,subject05,0.4666666666666666,0.34814814814814815,0.4407407407407407,0.3814814814814815,0.3666666666666667,0.3666666666666667,0.15716787124382606,0.2777777777777778,0.06350010658814405
0,subject13,0.3925925925925926,0.26296296296296295,0.3259259259259259,0.3,0.3074074074074074,0.28888888888888886,0.08351042819289993,0.1333333333333333,0.01292051876348399
0,subject19,0.3111111111111111,0.26666666666666666,0.3814814814814815,0.2111111111111111,0.2222222222222222,0.17777777777777773,0.06324971125840734,0.2888888888888889,0.0834425420962634
0,subject24,0.3111111111111111,0.3888888888888889,0.2888888888888889,0.24444444444444446,0.20370370370370372,0.17407407407407405,0.042933891216910734,0.033333333333333326,0.0019502364332122518
0,subject27,0.35555555555555557,0.32222222222222224,0.48148148148148145,0.337037037037037,0.337037037037037,0.27777777777777773,0.08428143556047009,0.07777777777777775,0.0123681320815044
0,subject34,0.4185185185185185,0.4000000000000001,0.35925925925925933,0.15555555555555556,0.11851851851851851,0.09999999999999999,0.03524846400091888,0.1444444444444445,0.017917199998689876
0,subject35,0.3868217054263566,0.7131782945736433,0.2457364341085271,0.24961240310077518,0.1744186046511628,0.14341085271317824,0.0356574388899305,0.06511627906976745,0.012645519380451933
1,subject08,0.2518518518518518,0.4148148148148148,0.3037037037037037,0.37407407407407406,0.4518518518518519,0.3666666666666667,0.20577968826611906,0.08148148148148147,0.029589501111035893
1,subject18,0.2777777777777778,0.662962962962963,0.37777777777777777,0.16666666666666666,0.13703703703703704,0.10000000000000002,0.03437330141596676,0.4666666666666666,0.23008137438844414
1,subject23,0.3,0.4518518518518519,0.5296296296296296,0.5481481481481482,0.4222222222222222,0.4222222222222222,0.1409532989396809,0.22592592592592595,0.05107068882754226
1,subject25,0.19259259259259257,0.43333333333333335,0.37777777777777777,0.3814814814814815,0.35555555555555557,0.32222222222222224,0.13600784330331203,0.14444444444444446,0.04970195190697398
1,subject26,0.25925925925925924,0.2148148148148148,0.2814814814814815,0.2962962962962963,0.22592592592592595,0.2333333333333333,0.07045627606484779,0.09999999999999999,0.02243864146093383
1,subject41,0.40256410256410263,0.7794871794871795,0.6333333333333333,0.735897435897436,0.47692307692307695,0.4358974358974359,0.24132785704644125,0.48205128205128206,0.23635785708366294
1,subject43,0.337037037037037,0.39999999999999997,0.3,0.17037037037037037,0.15925925925925924,0.13333333333333333,0.03215815176994145,0.2777777777777778,0.08461714195280907
2,subject01,0.2888888888888889,0.4296296296296296,0.362962962962963,0.3666666666666667,0.2740740740740741,0.21851851851851847,0.08201602245337009,0.0888888888888889,0.015838969247648105
2,subject04,0.35555555555555557,0.362962962962963,0.28518518518518515,0.29259259259259257,0.17037037037037037,0.1851851851851852,0.0492204601005213,0.06296296296296298,0.005058280816476826
2,subject10,0.32592592592592595,0.48888888888888893,0.2740740740740741,0.2333333333333333,0.24074074074074073,0.17407407407407413,0.05445829322859295,0.2518518518518518,0.06754304149107117
2,subject12,0.43703703703703706,0.48148148148148145,0.32962962962962966,0.20370370370370372,0.19999999999999998,0.17777777777777778,0.05886246845008958,0.2777777777777778,0.08067537163629909
2,subject15,0.2966292134831461,0.5333333333333333,0.4558052434456929,0.3752808988764045,0.3554307116104869,0.21123595505617979,0.06808071167544022,0.09999999999999999,0.023294304704125152
2,subject21,0.26296296296296295,0.4259259259259259,0.3925925925925926,0.3888888888888889,0.40740740740740744,0.3666666666666667,0.15779326756308268,0.07777777777777775,0.04002426716840066
2,subject36,0.3037037037037037,0.262962962962963,0.31851851851851853,0.3111111111111111,0.25555555555555554,0.18888888888888888,0.045928477374793324,0.07407407407407408,0.005406904310699626
3,subject02,0.22222222222222224,0.27777777777777773,0.43333333333333335,0.2333333333333333,0.3111111111111111,0.2111111111111111,0.10483060873572238,0.1333333333333333,0.05258716106826
3,subject11,0.6222222222222222,0.5962962962962963,0.2333333333333333,0.16666666666666666,0.12222222222222222,0.10740740740740741,0.024073048644092526,0.22222222222222224,0.09879799487028813
3,subject22,0.26296296296296295,0.2111111111111111,0.3333333333333333,0.2888888888888889,0.4148148148148148,0.2259259259259259,0.05803046183299971,0.16666666666666663,0.058362204994893724
3,subject30,0.262962962962963,0.26666666666666666,0.24074074074074073,0.17037037037037037,0.21851851851851853,0.14444444444444446,0.034183300095593575,0.1037037037037037,0.03794739096413025
3,subject33,0.2484848484848485,0.35909090909090907,0.5022727272727273,0.4113636363636364,0.39999999999999997,0.4113636363636363,0.23140928498119642,0.10151515151515154,0.025718864205784592
3,subject37,0.3296296296296296,0.25555555555555554,0.3703703703703704,0.3444444444444444,0.37777777777777777,0.3444444444444444,0.12303831599349453,0.04444444444444443,0.013147134934795362
3,subject40,0.3148148148148148,0.35555555555555557,0.2851851851851852,0.1259259259259259,0.09999999999999999,0.08518518518518518,0.03433852609844486,0.2333333333333333,0.06146580134528278
