model_family,latent_dim,outer_fold,training_seed,subject,trajectory_mse,movement_time_mae_ms,initiation_time_mae_ms,mean_ks,ks_n_submovements,energy_distance,mmd_rbf
condition_ridge,0,0,42.0,subject05,0.7748173442491454,56.4055735,121.65503055,0.3601010101010101,0.0805555555555555,1.0950472371485884,0.2107883031822185
condition_ridge,0,0,42.0,subject13,1.0651365542855555,69.2943628888889,119.2009899888889,0.34747474747474744,0.0888888888888888,0.8029231869399842,0.1287456684909007
condition_ridge,0,0,42.0,subject19,1.3294301830650246,84.62723938202248,154.4534328258427,0.30404040404040394,0.05,1.043984508465534,0.1949042601270311
condition_ridge,0,0,42.0,subject24,0.6440515394967052,54.48262910112359,87.68006670224719,0.19217171717171713,0.0111111111111111,0.3068239414573952,0.0480646664886039
condition_ridge,0,0,42.0,subject27,0.8758969400426951,48.40001,124.5633792542373,0.3047979797979798,0.0638888888888888,0.956078814691906,0.205290670156213
condition_ridge,0,0,42.0,subject34,1.0492928441284113,65.59475666666665,104.8225375777778,0.2454545454545454,0.0305555555555555,0.4074135524209596,0.0673915115433892
condition_ridge,0,0,42.0,subject35,0.9659741162136705,91.7985514619883,119.33794859064325,0.2973044397463002,0.0717054263565891,0.710904095141303,0.1305746589621857
condition_ridge,0,0,43.0,subject05,0.7748173442491454,56.4055735,121.65503055,0.33156565656565656,0.0472222222222222,0.9482302306534018,0.1847545356835257
condition_ridge,0,0,43.0,subject13,1.0651365542855555,69.2943628888889,119.2009899888889,0.3429292929292929,0.0805555555555555,0.7919014816261973,0.129820273265633
condition_ridge,0,0,43.0,subject19,1.3294301830650246,84.62723938202248,154.4534328258427,0.254040404040404,0.0166666666666666,0.6976624306174051,0.1253411066018699
condition_ridge,0,0,43.0,subject24,0.6440515394967052,54.48262910112359,87.68006670224719,0.21060606060606055,0.0111111111111111,0.2863752867514066,0.0430498059528599
condition_ridge,0,0,43.0,subject27,0.8758969400426951,48.40001,124.5633792542373,0.2616161616161616,0.0388888888888888,0.8426290233614004,0.1780898020126782
condition_ridge,0,0,43.0,subject34,1.0492928441284113,65.59475666666665,104.8225375777778,0.2618686868686868,0.0388888888888888,0.4668166524435655,0.0782885839770978
condition_ridge,0,0,43.0,subject35,0.9659741162136705,91.7985514619883,119.33794859064325,0.2701902748414376,0.0717054263565891,0.6063161041103511,0.1203214129614396
condition_ridge,0,0,44.0,subject05,0.7748173442491454,56.4055735,121.65503055,0.3166666666666666,0.0638888888888888,0.8414750753948614,0.1684292545792293
condition_ridge,0,0,44.0,subject13,1.0651365542855555,69.2943628888889,119.2009899888889,0.3176767676767676,0.0472222222222222,0.6790202051308145,0.1132894412811844
condition_ridge,0,0,44.0,subject19,1.3294301830650246,84.62723938202248,154.4534328258427,0.282070707070707,0.0583333333333333,0.9979825823449118,0.184926085016664
condition_ridge,0,0,44.0,subject24,0.6440515394967052,54.48262910112359,87.68006670224719,0.19772727272727272,0.0277777777777777,0.3012014456875471,0.0436727588321921
condition_ridge,0,0,44.0,subject27,0.8758969400426951,48.40001,124.5633792542373,0.31691919191919193,0.0027777777777777,1.0027074032073675,0.210007813503106
condition_ridge,0,0,44.0,subject34,1.0492928441284113,65.59475666666665,104.8225375777778,0.253030303030303,0.0305555555555555,0.5146006709096014,0.0863574333009221
condition_ridge,0,0,44.0,subject35,0.9659741162136705,91.7985514619883,119.33794859064325,0.26219168428470757,0.0300387596899224,0.6227041451204589,0.1152604646805562
condition_ridge,0,1,42.0,subject08,1.2249812595412761,207.57887765363128,85.17045808938548,0.48156565656565653,0.0055555555555555,3.9094813149924166,0.4926958847910994
condition_ridge,0,1,42.0,subject18,1.39588836749848,73.30872662921348,67.61810607303372,0.2962121212121212,0.0055555555555555,0.7927167204164851,0.1202198792686508
condition_ridge,0,1,42.0,subject23,0.44405636758738454,44.13938538888889,90.29432398333334,0.24469696969696966,0.2138888888888888,0.5945769826338712,0.0987897202331468
condition_ridge,0,1,42.0,subject25,3.1787521862928005,128.15112494382024,88.84053323595506,0.32828282828282823,0.3777777777777777,0.997119018997494,0.1452725946362218
condition_ridge,0,1,42.0,subject26,1.2312594448220766,64.25686229050278,86.08180230167599,0.3217171717171717,0.0611111111111111,1.0219771933362316,0.1186674668019031
condition_ridge,0,1,42.0,subject41,2.4732512744871706,101.81637392857142,119.49122621428572,0.2947552447552448,0.1288461538461538,0.9667374543589596,0.026598072026652
condition_ridge,0,1,42.0,subject43,0.6703283961231539,55.146269055555564,94.47796008888889,0.17499999999999996,0.0138888888888888,0.2445335587405779,0.0350385673842549
condition_ridge,0,1,43.0,subject08,1.2249812595412761,207.57887765363128,85.17045808938548,0.4969696969696969,0.0055555555555555,4.064599685993111,0.495957168382569
condition_ridge,0,1,43.0,subject18,1.39588836749848,73.30872662921348,67.61810607303372,0.33459595959595956,0.0138888888888888,1.035862710415441,0.1637357646950531
condition_ridge,0,1,43.0,subject23,0.44405636758738454,44.13938538888889,90.29432398333334,0.21717171717171715,0.1972222222222222,0.4906684377093211,0.0823189047410904
condition_ridge,0,1,43.0,subject25,3.1787521862928005,128.15112494382024,88.84053323595506,0.3426767676767677,0.3944444444444444,1.0973744451511065,0.1673831862899194
condition_ridge,0,1,43.0,subject26,1.2312594448220766,64.25686229050278,86.08180230167599,0.31060606060606055,0.0611111111111111,0.9578613144900796,0.1109787483389175
condition_ridge,0,1,43.0,subject41,2.4732512744871706,101.81637392857142,119.49122621428572,0.2824009324009324,0.1288461538461538,0.9914053679324292,0.0323525525784668
condition_ridge,0,1,43.0,subject43,0.6703283961231539,55.146269055555564,94.47796008888889,0.17196969696969697,0.0111111111111111,0.256286281409301,0.0378532097931231
condition_ridge,0,1,44.0,subject08,1.2249812595412761,207.57887765363128,85.17045808938548,0.4987373737373737,0.0138888888888888,4.055317064382633,0.519895795453173
condition_ridge,0,1,44.0,subject18,1.39588836749848,73.30872662921348,67.61810607303372,0.3037878787878788,0.0222222222222222,0.9244507711537956,0.1351546329780353
condition_ridge,0,1,44.0,subject23,0.44405636758738454,44.13938538888889,90.29432398333334,0.22853535353535348,0.1972222222222222,0.5253253065281465,0.0870793955795491
condition_ridge,0,1,44.0,subject25,3.1787521862928005,128.15112494382024,88.84053323595506,0.3452020202020202,0.3944444444444444,1.2069602084494395,0.1722705518592234
condition_ridge,0,1,44.0,subject26,1.2312594448220766,64.25686229050278,86.08180230167599,0.3164141414141413,0.0527777777777777,1.088084324606463,0.1343925595725205
condition_ridge,0,1,44.0,subject41,2.4732512744871706,101.81637392857142,119.49122621428572,0.2803030303030303,0.1371794871794872,0.9608167732550736,0.0294663088666689
condition_ridge,0,1,44.0,subject43,0.6703283961231539,55.146269055555564,94.47796008888889,0.17727272727272725,0.0138888888888888,0.2270395590590608,0.0315784609825224
condition_ridge,0,2,42.0,subject01,0.676282673591066,60.82155844444444,68.88323538888889,0.23358585858585854,0.0083333333333333,0.5519026807045955,0.1026822854074701
condition_ridge,0,2,42.0,subject04,0.48531557883050885,40.98110655555555,95.68707171666667,0.2191919191919192,0.0666666666666666,0.3722223403312039,0.0664052531254519
condition_ridge,0,2,42.0,subject10,0.8224018165404372,78.45320533333333,114.83462132222222,0.2659090909090909,0.0027777777777777,0.5570387012834002,0.0881758906841997
condition_ridge,0,2,42.0,subject12,1.2692016486680928,88.90405533333333,111.86428853333332,0.252020202020202,0.05,0.8606741378593439,0.1508585222380193
condition_ridge,0,2,42.0,subject15,0.8288865073184862,70.3721236158192,96.46941566101695,0.18735103847463394,0.0514981273408239,0.3355261830400011,0.062978111193369
condition_ridge,0,2,42.0,subject21,3.1467329938296182,89.55104359550563,82.65966301123596,0.3143939393939394,0.0055555555555555,0.8398426332215494,0.1428154972350972
condition_ridge,0,2,42.0,subject36,0.8935043513941637,57.25802566666667,117.74552791666666,0.2722222222222222,0.05,0.5726023938082951,0.1097739095350108
condition_ridge,0,2,43.0,subject01,0.676282673591066,60.82155844444444,68.88323538888889,0.25050505050505045,0.0083333333333333,0.5859260339223233,0.1062539879738492
condition_ridge,0,2,43.0,subject04,0.48531557883050885,40.98110655555555,95.68707171666667,0.23838383838383834,0.0583333333333333,0.4120340914702378,0.0689165624705887
condition_ridge,0,2,43.0,subject10,0.8224018165404372,78.45320533333333,114.83462132222222,0.25530303030303025,0.0083333333333333,0.54545243199399,0.0931238885622092
condition_ridge,0,2,43.0,subject12,1.2692016486680928,88.90405533333333,111.86428853333332,0.29873737373737363,0.0583333333333333,1.0538997825186325,0.1836117518483724
condition_ridge,0,2,43.0,subject15,0.8288865073184862,70.3721236158192,96.46941566101695,0.2174242424242424,0.0681647940074906,0.4290268158779691,0.0750037051678363
condition_ridge,0,2,43.0,subject21,3.1467329938296182,89.55104359550563,82.65966301123596,0.31919191919191914,0.0222222222222222,0.819532267609659,0.145151478917793
condition_ridge,0,2,43.0,subject36,0.8935043513941637,57.25802566666667,117.74552791666666,0.25176767676767675,0.0333333333333333,0.5724387365920278,0.1076135615461786
condition_ridge,0,2,44.0,subject01,0.676282673591066,60.82155844444444,68.88323538888889,0.2722222222222222,0.0166666666666666,0.7964879114297272,0.1527416496372134
condition_ridge,0,2,44.0,subject04,0.48531557883050885,40.98110655555555,95.68707171666667,0.24823232323232325,0.075,0.3893830407268703,0.0692092781608524
condition_ridge,0,2,44.0,subject10,0.8224018165404372,78.45320533333333,114.83462132222222,0.25580808080808076,0.0194444444444444,0.4235782022196561,0.0718525796176191
condition_ridge,0,2,44.0,subject12,1.2692016486680928,88.90405533333333,111.86428853333332,0.29494949494949485,0.0583333333333333,1.0582844041544273,0.1851112134763969
condition_ridge,0,2,44.0,subject15,0.8288865073184862,70.3721236158192,96.46941566101695,0.19907218249914874,0.0764981273408239,0.3205229305788015,0.0536408676078398
condition_ridge,0,2,44.0,subject21,3.1467329938296182,89.55104359550563,82.65966301123596,0.32525252525252524,0.0138888888888888,0.8848176725144272,0.1470587414987818
condition_ridge,0,2,44.0,subject36,0.8935043513941637,57.25802566666667,117.74552791666666,0.26818181818181813,0.0666666666666666,0.522785711810136,0.0988128177798778
