fold,seed,subject,arm,donor,mean_ks,energy_distance,mmd_rbf
2,44,subject01,own,subject01,0.14242424242424245,0.13604088572325823,0.02104800822176489
2,44,subject01,population,training_mean,0.21969696969696972,0.47705099371264703,0.08728420506954437
2,44,subject01,wrong,subject04,0.2186868686868687,0.42305573615125214,0.08024872222046986
2,44,subject01,wrong,subject10,0.26540404040404036,0.7622228091103431,0.14602564079265534
2,44,subject01,wrong,subject12,0.3297979797979798,1.3633030941533937,0.25539511225579237
2,44,subject01,wrong,subject15,0.3035353535353535,0.9948272969171792,0.1911748594489846
2,44,subject01,wrong,subject21,0.268939393939394,0.7331717166536875,0.14096071858964143
2,44,subject01,wrong,subject36,0.328030303030303,1.1657500078293492,0.21821406302126067
2,44,subject04,own,subject04,0.17979797979797982,0.14399176156639326,0.02236076039806567
2,44,subject04,population,training_mean,0.24065656565656565,0.4044191584613621,0.07378580358018016
2,44,subject04,wrong,subject01,0.2618686868686869,0.41983179651667735,0.07758293660175009
2,44,subject04,wrong,subject10,0.20883838383838385,0.280575784669884,0.050572864785839555
2,44,subject04,wrong,subject12,0.2931818181818182,0.7186089643503619,0.13504582066832782
2,44,subject04,wrong,subject15,0.24898989898989898,0.6255685663837909,0.11972413200222198
2,44,subject04,wrong,subject21,0.4,1.124586122207019,0.21156636050748368
2,44,subject04,wrong,subject36,0.28434343434343434,0.5987293355101735,0.11008650167256429
2,44,subject10,own,subject10,0.2320707070707071,0.3286538113078934,0.06135814802787709
2,44,subject10,population,training_mean,0.31590909090909086,0.7255893725427764,0.1398954590483693
2,44,subject10,wrong,subject01,0.2994949494949495,0.942271914247752,0.18151943816577798
2,44,subject10,wrong,subject04,0.24898989898989896,0.4742724266160381,0.09238941814833534
2,44,subject10,wrong,subject12,0.29292929292929293,0.6430541075292484,0.12027410237059044
2,44,subject10,wrong,subject15,0.27045454545454545,0.5875472869536162,0.11136125229221938
2,44,subject10,wrong,subject21,0.43257575757575756,1.591986314813059,0.29654495471364617
2,44,subject10,wrong,subject36,0.3032828282828283,0.7544968976892314,0.14656604872903745
2,44,subject12,own,subject12,0.2772727272727273,0.6605200624906247,0.12191663539214281
2,44,subject12,population,training_mean,0.3338383838383838,1.3775012867936125,0.2599152172625392
2,44,subject12,wrong,subject01,0.3133838383838384,1.6806706377915703,0.3195394036615826
2,44,subject12,wrong,subject04,0.3017676767676768,1.2180142970961203,0.23748045242097215
2,44,subject12,wrong,subject10,0.2775252525252525,0.8475521989258752,0.16421684338229858
2,44,subject12,wrong,subject15,0.3517676767676768,1.2920384571626116,0.2455213782678396
2,44,subject12,wrong,subject21,0.40151515151515144,2.2840516291880886,0.41190857631371103
2,44,subject12,wrong,subject36,0.2775252525252525,0.6346022893725722,0.11728981710656672
2,44,subject15,own,subject15,0.2128958120531154,0.26248388356619934,0.04564634767729192
2,44,subject15,population,training_mean,0.21317671092951992,0.288261013889227,0.04986312473540644
2,44,subject15,wrong,subject01,0.25095335376234257,0.5677066228307521,0.10260876102460925
2,44,subject15,wrong,subject04,0.162836227442969,0.23109549683023145,0.03784756165395109
2,44,subject15,wrong,subject10,0.16157643854273065,0.15183027941872762,0.021993055270018047
2,44,subject15,wrong,subject12,0.22522982635342184,0.476486835506408,0.09319987906380178
2,44,subject15,wrong,subject21,0.3300306435137896,0.8900404742696675,0.17399336734399917
2,44,subject15,wrong,subject36,0.22324651004426285,0.492878267364143,0.09819697898518376
2,44,subject21,own,subject21,0.2815656565656566,0.6458637443729836,0.11661378462192751
2,44,subject21,population,training_mean,0.3093434343434343,1.0740359032105333,0.18648807291861647
2,44,subject21,wrong,subject01,0.27878787878787875,0.7802892109202397,0.1346804421957316
2,44,subject21,wrong,subject04,0.31641414141414137,0.9572410481280871,0.1654772410958134
2,44,subject21,wrong,subject10,0.3747474747474747,1.221663670068899,0.21206900073876966
2,44,subject21,wrong,subject12,0.41464646464646465,1.7281280486749147,0.2948363490394075
2,44,subject21,wrong,subject15,0.36515151515151517,1.3799637283897663,0.24616622974888758
2,44,subject21,wrong,subject36,0.3426767676767677,1.3376776549492502,0.21771406409706973
2,44,subject36,own,subject36,0.11944444444444445,0.0636064359153159,0.0010895718381603858
2,44,subject36,population,training_mean,0.27954545454545454,0.557051270481157,0.10940283307825116
2,44,subject36,wrong,subject01,0.3237373737373737,0.8329915162449106,0.16001372715441353
2,44,subject36,wrong,subject04,0.2921717171717172,0.6997011607052159,0.13828560066860784
2,44,subject36,wrong,subject10,0.23636363636363633,0.4801873491457358,0.09285105284645645
2,44,subject36,wrong,subject12,0.2032828282828283,0.2934424618853577,0.04945054875915755
2,44,subject36,wrong,subject15,0.3037878787878788,0.8009843413468176,0.16144463031464418
2,44,subject36,wrong,subject21,0.3396464646464647,0.9745743474572843,0.19005548372872416
