check,passed,detail
conditional_ae\fold0\conditional_ae_z3_seed42/condition gradients,True,"{'encoder_condition0_gradient': 2.530658721923828, 'decoder_condition0_gradient': 19.272937774658203, 'encoder_condition1_gradient': 1.5625255107879639, 'decoder_condition1_gradient': 31.70877456665039, 'encoder_condition2_gradient': 2.1842663288116455, 'decoder_condition2_gradient': 44.62639617919922, 'encoder_condition3_gradient': 2.8856265544891357, 'decoder_condition3_gradient': 18.96746253967285, 'encoder_condition4_gradient': 1.2499279975891113, 'decoder_condition4_gradient': 22.494186401367188}"
conditional_ae\fold0\conditional_ae_z3_seed42/condition swap behaviour,True,
conditional_ae\fold0\conditional_ae_z3_seed43/effective flags,True,
conditional_ae\fold0\conditional_ae_z3_seed43/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed43/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed43/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed43/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed43/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z3_seed43/selected epoch,True,
conditional_ae\fold0\conditional_ae_z3_seed43/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold0\conditional_ae_z3_seed43/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z3_seed43/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed43/prediction IDs,True,
conditional_ae\fold0\conditional_ae_z3_seed43/true timing,True,max_abs_error=2.6930236707300992e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed43/independent timing predictions,True,max_abs_error=2.7768707222541877e-08; atol=2e-06; rtol=2e-05
