fold,seed,subject,arm,donor,mean_ks,energy_distance,mmd_rbf
1,43,subject08,own,subject08,0.36035353535353537,1.5188361917447426,0.26921901456506203
1,43,subject08,population,training_mean,0.5101010101010102,4.492649279408176,0.6005152199911385
1,43,subject08,wrong,subject18,0.4931818181818182,4.121948620836294,0.5708001771353871
1,43,subject08,wrong,subject23,0.5866161616161617,5.71265935420649,0.6755003494791102
1,43,subject08,wrong,subject25,0.481060606060606,3.5755254387675715,0.5113704667884487
1,43,subject08,wrong,subject26,0.4436868686868687,4.018251116028432,0.5578860789647233
1,43,subject08,wrong,subject41,0.55,4.516539477484828,0.6024005557260484
1,43,subject08,wrong,subject43,0.5174242424242425,4.695370806574786,0.6311048758635718
1,43,subject18,own,subject18,0.24393939393939393,0.5040328423193898,0.08512628377067277
1,43,subject18,population,training_mean,0.30808080808080807,1.029662748340701,0.16932636333555295
1,43,subject18,wrong,subject08,0.43156565656565654,2.2824719570111998,0.38139787088558363
1,43,subject18,wrong,subject23,0.427020202020202,1.9188763581916928,0.29643514750082733
1,43,subject18,wrong,subject25,0.39671717171717175,1.9501860463015772,0.34432815732687405
1,43,subject18,wrong,subject26,0.3449494949494949,1.3335581278048383,0.22894928187787988
1,43,subject18,wrong,subject41,0.4343434343434344,1.8056705550216994,0.29521981771749706
1,43,subject18,wrong,subject43,0.2901515151515151,0.907219729786191,0.1513143849588814
1,43,subject23,own,subject23,0.20050505050505052,0.15533090762797963,0.023091217819878995
1,43,subject23,population,training_mean,0.25378787878787884,0.4608211163988205,0.07555876969547293
1,43,subject23,wrong,subject08,0.4762626262626263,2.9634718434831164,0.4762130304672053
1,43,subject23,wrong,subject18,0.3686868686868687,1.532536094430934,0.2564377189978606
1,43,subject23,wrong,subject25,0.38005050505050514,1.8472236937820918,0.3266778580421126
1,43,subject23,wrong,subject26,0.3237373737373738,1.1142969813260595,0.1866581917187754
1,43,subject23,wrong,subject41,0.25479797979797975,0.6466849758598259,0.1195467061229647
1,43,subject23,wrong,subject43,0.2654040404040404,0.5969661659259429,0.10590967249311745
1,43,subject25,own,subject25,0.25833333333333336,0.4136591070258282,0.06163980878611619
1,43,subject25,population,training_mean,0.37878787878787873,1.3366397152983875,0.20905174539456928
1,43,subject25,wrong,subject08,0.3785353535353535,1.7136648059457231,0.2691839667653817
1,43,subject25,wrong,subject18,0.32954545454545453,1.1145816217665931,0.17006283885317786
1,43,subject25,wrong,subject23,0.5085858585858586,2.5452089901030157,0.38351300123217436
1,43,subject25,wrong,subject26,0.2843434343434344,0.978329570113861,0.1475675437777132
1,43,subject25,wrong,subject41,0.420959595959596,1.2543359737348951,0.200232978107298
1,43,subject25,wrong,subject43,0.36338383838383836,1.495553023902151,0.2378211655270943
1,43,subject26,own,subject26,0.27474747474747474,0.9052753452945193,0.12665353210634012
1,43,subject26,population,training_mean,0.3308080808080808,1.2055983476533987,0.16527294413085325
1,43,subject26,wrong,subject08,0.3335858585858586,1.1760829862776627,0.19541724496977442
1,43,subject26,wrong,subject18,0.271969696969697,0.7506792439125713,0.11084029511041649
1,43,subject26,wrong,subject23,0.4492424242424242,2.590244971810085,0.3315068691283534
1,43,subject26,wrong,subject25,0.37121212121212116,1.3303796710543745,0.20048431961415225
1,43,subject26,wrong,subject41,0.38611111111111107,1.8825015067795117,0.2617157665421702
1,43,subject26,wrong,subject43,0.36439393939393944,1.2245922055578649,0.1722285389793391
1,43,subject41,own,subject41,0.3173659673659674,1.1294426778266105,0.06707848854651888
1,43,subject41,population,training_mean,0.3274475524475524,1.338405825068599,0.09424243189621584
1,43,subject41,wrong,subject08,0.4367132867132867,2.503428271701563,0.2971184976933356
1,43,subject41,wrong,subject18,0.3906177156177156,1.9249403155406095,0.1893540094404057
1,43,subject41,wrong,subject23,0.3741258741258741,1.5597301093296374,0.11765524445082787
1,43,subject41,wrong,subject25,0.3677156177156178,1.4974825319866891,0.14601908199033586
1,43,subject41,wrong,subject26,0.38986013986013984,1.661507544047145,0.1473232796860392
1,43,subject41,wrong,subject43,0.3187062937062937,1.1681281268973476,0.06923309848181658
1,43,subject43,own,subject43,0.12121212121212123,0.09105025080825158,0.006166151178042867
1,43,subject43,population,training_mean,0.18585858585858583,0.252188984365318,0.038291684279922356
1,43,subject43,wrong,subject08,0.4143939393939394,2.7067223833851397,0.44047159385786344
1,43,subject43,wrong,subject18,0.28080808080808084,0.8647863095004444,0.14662490614409873
1,43,subject43,wrong,subject23,0.2545454545454545,0.6027361166969811,0.09473152466226531
1,43,subject43,wrong,subject25,0.3116161616161616,1.3483008672709689,0.2523521380879571
1,43,subject43,wrong,subject26,0.278030303030303,0.768997346856263,0.13799732219383765
1,43,subject43,wrong,subject41,0.27601010101010104,0.6472284701263158,0.11423995630983086
