run,subject,n_generated,n_query,max_metric_difference,movement_floor_count,initiation_floor_count,crop_cap_count,energy_distance,mmd_rbf,ks_initiation_time_s,ks_movement_time_s,ks_peak_speed_tracker_units_s,ks_time_to_peak_speed,ks_path_length,ks_straight_line_dist,ks_curvature_index,ks_max_lateral_deviation,ks_n_submovements,ks_end_x,ks_end_y
conditional_ae\fold0\conditional_ae_z3_seed42,subject05,120,90,1.1102230246251565e-16,0,6,0,1.0254844051117216,0.1920258441088546,0.3111111111111111,0.39444444444444443,0.2055555555555556,0.2138888888888889,0.40833333333333327,0.39999999999999997,0.4277777777777778,0.5277777777777778,0.011111111111111072,0.4944444444444444,0.4222222222222222
conditional_ae\fold0\conditional_ae_z3_seed42,subject13,120,90,1.1102230246251565e-16,0,4,0,0.43393889680891196,0.08125839279359781,0.22500000000000003,0.275,0.20277777777777772,0.11111111111111116,0.3222222222222222,0.2694444444444445,0.4472222222222222,0.2944444444444444,0.011111111111111072,0.09722222222222221,0.2972222222222222
conditional_ae\fold0\conditional_ae_z3_seed42,subject19,120,90,1.1102230246251565e-16,0,0,0,0.40195656328859686,0.08528256561973058,0.3361111111111111,0.3666666666666667,0.2444444444444444,0.2416666666666667,0.13888888888888884,0.10277777777777775,0.3,0.2583333333333333,0.0,0.2055555555555555,0.1111111111111111
conditional_ae\fold0\conditional_ae_z3_seed42,subject24,120,90,1.3877787807814457e-16,0,5,0,0.18819615467964423,0.033804010348975844,0.24166666666666664,0.19444444444444445,0.21666666666666667,0.2277777777777778,0.050000000000000044,0.05277777777777781,0.16666666666666674,0.1388888888888889,0.05555555555555558,0.11666666666666664,0.061111111111111116
conditional_ae\fold0\conditional_ae_z3_seed42,subject27,120,90,1.465841337200402e-16,0,2,0,0.9828978015817333,0.19874558897389594,0.5888888888888889,0.21666666666666665,0.34444444444444444,0.4722222222222222,0.13055555555555565,0.16666666666666674,0.2666666666666667,0.2333333333333334,0.005555555555555647,0.42222222222222217,0.24722222222222223
conditional_ae\fold0\conditional_ae_z3_seed42,subject34,120,90,1.1102230246251565e-16,0,4,0,0.8006662865698146,0.1444001384557152,0.18055555555555547,0.24722222222222223,0.19444444444444445,0.4444444444444445,0.3777777777777778,0.4388888888888889,0.425,0.3388888888888889,0.0444444444444444,0.11666666666666664,0.45555555555555555
conditional_ae\fold0\conditional_ae_z3_seed42,subject35,120,86,1.0278236595162582e-16,0,13,0,0.47237680039827223,0.08127701982452529,0.2457364341085272,0.3819767441860465,0.43003875968992245,0.2651162790697674,0.07189922480620155,0.08837209302325583,0.17693798449612405,0.23372093023255813,0.003294573643410903,0.33081395348837206,0.09670542635658916
conditional_ae\fold0\conditional_ae_z3_seed43,subject05,120,90,1.1102230246251565e-16,0,4,0,0.9131785988422605,0.1795641743617714,0.3277777777777778,0.30833333333333335,0.2138888888888889,0.20277777777777772,0.40833333333333327,0.36944444444444446,0.49444444444444446,0.5277777777777778,0.002777777777777768,0.5055555555555555,0.3861111111111111
conditional_ae\fold0\conditional_ae_z3_seed43,subject13,120,90,6.938893903907228e-17,0,5,0,0.49485346513414674,0.08215322501241351,0.24722222222222223,0.2833333333333333,0.23333333333333334,0.11944444444444446,0.3472222222222222,0.3138888888888889,0.38055555555555554,0.3388888888888889,0.011111111111111072,0.20000000000000007,0.3138888888888889
conditional_ae\fold0\conditional_ae_z3_seed43,subject19,120,90,1.1102230246251565e-16,0,2,0,0.4617393188468326,0.09472611187620539,0.3222222222222222,0.4416666666666667,0.28888888888888886,0.2694444444444445,0.18333333333333335,0.15555555555555556,0.4305555555555555,0.3916666666666667,0.008333333333333304,0.21111111111111114,0.15277777777777773
conditional_ae\fold0\conditional_ae_z3_seed43,subject24,120,90,1.3877787807814457e-16,0,8,0,0.17133461548549533,0.0286552966092688,0.19444444444444448,0.2027777777777778,0.19444444444444442,0.2277777777777778,0.10277777777777775,0.16666666666666674,0.20000000000000007,0.17222222222222228,0.047222222222222276,0.16111111111111112,0.15000000000000002
conditional_ae\fold0\conditional_ae_z3_seed43,subject27,120,90,1.1102230246251565e-16,0,4,0,0.8459956842347474,0.17078142168128585,0.5888888888888889,0.21944444444444447,0.30555555555555547,0.41388888888888886,0.10000000000000009,0.1166666666666667,0.27222222222222225,0.21666666666666667,0.002777777777777768,0.4111111111111111,0.15555555555555556
conditional_ae\fold0\conditional_ae_z3_seed43,subject34,120,90,8.326672684688674e-17,0,2,0,0.7576475373843032,0.13364421538240578,0.13611111111111113,0.23888888888888887,0.26111111111111107,0.4361111111111111,0.42499999999999993,0.48611111111111116,0.32777777777777783,0.30277777777777776,0.0444444444444444,0.14166666666666666,0.48055555555555557
conditional_ae\fold0\conditional_ae_z3_seed43,subject35,120,86,9.71445146547012e-17,0,9,0,0.4118283621988348,0.07304563993125412,0.18740310077519384,0.3653100775193798,0.3550387596899225,0.20562015503875974,0.1742248062015504,0.15290697674418607,0.12364341085271319,0.09864341085271319,0.02170542635658912,0.29728682170542636,0.15445736434108526
conditional_ae\fold0\conditional_ae_z3_seed44,subject05,120,90,1.1102230246251565e-16,0,3,0,0.9132210246327612,0.19199844261354015,0.43888888888888894,0.4555555555555555,0.2444444444444444,0.2944444444444444,0.3972222222222222,0.3444444444444445,0.41666666666666663,0.5277777777777778,0.002777777777777768,0.48333333333333334,0.36111111111111116
conditional_ae\fold0\conditional_ae_z3_seed44,subject13,120,90,1.1102230246251565e-16,0,2,0,0.3726140113129808,0.06316020926222998,0.2361111111111111,0.28888888888888886,0.18055555555555555,0.1611111111111111,0.32499999999999996,0.2777777777777778,0.41388888888888886,0.35,0.002777777777777768,0.14166666666666672,0.29722222222222217
conditional_ae\fold0\conditional_ae_z3_seed44,subject19,120,90,1.1102230246251565e-16,0,0,0,0.5446582155751303,0.1179164516635195,0.39722222222222225,0.5222222222222221,0.3111111111111111,0.3166666666666667,0.11666666666666667,0.14166666666666666,0.36944444444444446,0.2333333333333334,0.0,0.13611111111111118,0.13611111111111113
conditional_ae\fold0\conditional_ae_z3_seed44,subject24,120,90,1.1102230246251565e-16,0,8,0,0.29743369607678405,0.053985168342213674,0.33611111111111114,0.2138888888888889,0.23611111111111116,0.15833333333333333,0.14722222222222214,0.20277777777777772,0.16388888888888886,0.13333333333333336,0.047222222222222276,0.15555555555555559,0.18055555555555558
conditional_ae\fold0\conditional_ae_z3_seed44,subject27,120,90,8.326672684688674e-17,0,3,0,1.2195092214654135,0.25434275976107956,0.6166666666666667,0.28611111111111115,0.30000000000000004,0.5694444444444444,0.07500000000000007,0.15833333333333333,0.375,0.32499999999999996,0.011111111111111072,0.3305555555555555,0.18611111111111117
conditional_ae\fold0\conditional_ae_z3_seed44,subject34,120,90,1.1102230246251565e-16,0,3,0,0.7123108242956002,0.14353789279608198,0.3083333333333333,0.4611111111111111,0.2694444444444445,0.46111111111111114,0.3444444444444445,0.3916666666666666,0.4194444444444445,0.3388888888888889,0.036111111111111094,0.08055555555555555,0.40555555555555556
conditional_ae\fold0\conditional_ae_z3_seed44,subject35,120,86,1.0278236595162582e-16,0,3,0,0.5033343216744788,0.08397135256854349,0.20232558139534884,0.33372093023255817,0.44670542635658916,0.24534883720930228,0.18333333333333335,0.2248062015503876,0.15193798449612403,0.1569767441860465,0.003294573643410903,0.16201550387596897,0.22499999999999998
