control,metric,own_mean,control_mean,own_better_n,n,p,q_bh_6
population,mean_ks,0.21512115987954528,0.28412558054129894,27,28,1.4901161193847656e-08,2.9802322387695312e-08
population,energy_distance,0.41101443319731873,0.8786814262650676,27,28,2.4586915969848633e-07,2.950429916381836e-07
population,mmd_rbf,0.06388130250594579,0.1416037385371205,27,28,1.5422701835632324e-06,1.5422701835632324e-06
wrong,mean_ks,0.21512115987954528,0.31440531018668016,27,28,1.4901161193847656e-08,2.9802322387695312e-08
wrong,energy_distance,0.41101443319731873,1.1683366383367428,27,28,1.4901161193847656e-08,2.9802322387695312e-08
wrong,mmd_rbf,0.06388130250594579,0.19478112015609775,27,28,5.21540641784668e-08,7.82310962677002e-08
