model_family,latent_dim,fold,seed,subject,n_context,n_query,n_generated,feature_reproduction_error,geometry,energy,mmd2,mmd2_biased_diagnostic,mean_path_rmse,all_pairs_mse_diagnostic,recorded_dispersion,generated_dispersion,dispersion_ratio
condition_ridge,0,0,42,subject05,90,90,120,5.551115123125783e-17,raw_rms,0.3569517093672179,0.1633747432020488,0.1711404039957685,0.6744269061665316,1.7342309618925282,0.2455483451079607,1.0452698621534644,4.256880092976756
condition_ridge,0,0,42,subject05,90,90,120,5.551115123125783e-17,axis_balanced,0.3826896121127829,0.2281015795216183,0.23545303718957,0.5909962516145318,1.348322063283007,0.2000893401137501,0.8079119683734276,4.037756173887785
condition_ridge,0,0,42,subject13,90,90,120,9.714451465470121e-17,raw_rms,0.469622431209902,0.1953043303561144,0.2042251169849156,0.8297583728032115,2.6115378271165097,0.5750148228914392,1.3657947232696337,2.3752339398866087
condition_ridge,0,0,42,subject13,90,90,120,9.714451465470121e-17,axis_balanced,0.2991395421213534,0.1605415048958414,0.1686962616637315,0.5621736949286767,1.6991641983155636,0.3405845798649649,1.0551172722256623,3.097959610044576
condition_ridge,0,0,42,subject19,88,90,120,2.220446049250313e-16,raw_rms,0.7047324614839072,0.2909445794874592,0.299852100517141,1.040215800053805,2.840581736769611,0.479171776175523,1.295480854546795,2.7035833890021395
condition_ridge,0,0,42,subject19,88,90,120,2.220446049250313e-16,axis_balanced,0.4386884872969396,0.2384996008363235,0.2466425411294154,0.70221103428504,1.825326798444316,0.3048617399402978,1.0394138566369977,3.4094598319899045
condition_ridge,0,0,42,subject24,88,90,120,8.326672684688674e-17,raw_rms,0.0704379920059752,0.0446919551980808,0.0545278703324817,0.1560130802694015,1.9595312496093984,0.6527640463348907,1.300517703436161,1.992324348649788
condition_ridge,0,0,42,subject24,88,90,120,8.326672684688674e-17,axis_balanced,0.0615670983740943,0.0312994642378879,0.0413873502330378,0.2014289281976233,1.5790185388951956,0.6008917142698702,0.952164490198468,1.5845858206838837
condition_ridge,0,0,42,subject27,87,90,120,1.1102230246251563e-16,raw_rms,0.2699917611442688,0.1865729025383357,0.1958502708848107,0.4167338549808887,2.253448301076012,0.6439936517249081,1.4550686001509612,2.259445564802736
condition_ridge,0,0,42,subject27,87,90,120,1.1102230246251563e-16,axis_balanced,0.1974248525851252,0.1344120668701836,0.1435062129813455,0.3367158136860118,1.6584681802663666,0.4474271354747183,1.1119007578707236,2.485099069127762
condition_ridge,0,0,42,subject34,90,90,120,9.714451465470121e-17,raw_rms,0.0922116730924611,0.0346668317425266,0.0446553768717762,0.3046666659565538,1.989763064945768,0.8647568818662528,1.0505473770080132,1.214847084813944
condition_ridge,0,0,42,subject34,90,90,120,9.714451465470121e-17,axis_balanced,0.0837311081354721,0.0440186429446958,0.053185147594029,0.2192259470334806,1.3771055096441271,0.543099275726661,0.7986359540790278,1.4705155940605177
condition_ridge,0,0,42,subject35,85,86,120,8.326672684688674e-17,raw_rms,0.1271689820178274,0.0725024237004414,0.0842881629668605,0.302033902804446,2.7779113317283985,0.8815464293616184,1.8306463500502104,2.076630667514465
condition_ridge,0,0,42,subject35,85,86,120,8.326672684688674e-17,axis_balanced,0.2147845538087407,0.1089293606294381,0.119925047621864,0.4830755317580036,1.9766351901439403,0.5898240134266413,1.1700581103476937,1.983741054471697
condition_ridge,0,1,42,subject08,89,90,120,8.326672684688674e-17,raw_rms,0.5107426273092834,0.2938977265654247,0.3059301811726946,0.6996654109829759,2.293187361939637,0.5973954376251124,1.2230903839394345,2.0473714844587896
condition_ridge,0,1,42,subject08,89,90,120,8.326672684688674e-17,axis_balanced,0.9004671439631571,0.3572109600668538,0.370542964596576,1.1793028058070594,3.969737403603401,1.4715404849726217,1.1332358931220905,0.7701017435094044
condition_ridge,0,1,42,subject18,88,90,120,8.326672684688674e-17,raw_rms,0.1549164221605437,0.0774727397580448,0.0887358237937155,0.4358906976538206,2.308455065438864,1.4401307269673116,0.7001597553199427,0.486177915802386
