model_family,latent_dim,geometry,energy,mmd2,mmd2_biased_diagnostic,mean_path_rmse,all_pairs_mse_diagnostic,recorded_dispersion,generated_dispersion,dispersion_ratio
condition_ridge,0,axis_balanced,0.2487698332560713,0.11598824402904931,0.12895552784892608,0.4946323738494006,2.117284799269034,0.8560926500002142,0.9891877060056846,1.665616209136621
condition_ridge,0,raw_rms,0.25201391027632275,0.10901004375576753,0.12221857557304874,0.5122637549426128,2.4129964925923475,0.9639313228286638,1.1486472767107805,1.7128098150028512
conditional_ae,3,axis_balanced,0.1276760770251048,0.07862209308864491,0.09147895622578538,0.2506748023816062,1.7094295189617534,0.8560926500002142,0.8005183307284707,1.3668091396483828
conditional_ae,3,raw_rms,0.1271810682110995,0.08183114097386843,0.09520712352484025,0.23977972549356924,1.966771036053407,0.9639313228286638,0.9618585086194764,1.4463449163670323
conditional_ae,8,axis_balanced,0.0865617570867453,0.053059600065052843,0.06592688951829287,0.17145310280196213,1.5863622709848058,0.8560926500002142,0.7199597686665687,1.2432379418038786
conditional_ae,8,raw_rms,0.09469778053661004,0.06519906550810023,0.07859709536203983,0.1681984498183519,1.8245280616293447,0.9639313228286638,0.8544634965103467,1.2929405570882722
context_mean_only,0,axis_balanced,0.45055261328811136,0.1919716955413638,0.19991870842887596,0.11181339176992981,0.8552793280321762,0.8560926500002142,1.9015651537659142e-29,2.902362242371222e-29
context_mean_only,0,raw_rms,0.4620578759029919,0.24524127881139446,0.25338218896608194,0.11462708196692373,0.9623050048167547,0.9639313228286638,4.3151491960478743e-29,6.434844681624691e-29
context_resample,0,axis_balanced,0.03392267117880874,0.005631935360950262,0.017668270484801345,0.12622396329015248,1.648500585421567,0.8560926500002142,0.7953123119964908,0.9540149303823969
context_resample,0,raw_rms,0.03284741315704024,0.005406526055198367,0.017753665183679095,0.12850061023003814,1.8193807765801293,0.9639313228286638,0.8593050286300158,0.9409966696235086
cvae,3,axis_balanced,0.1109001520046218,0.06102524697934326,0.07347472142075166,0.24457153212290192,1.5842175556902698,0.8560926500002142,0.6736288714790514,1.1148606964979855
cvae,3,raw_rms,0.10236793407873901,0.057767534203794595,0.07069782258914578,0.2308614479437178,1.7899657209758009,0.9639313228286638,0.7827656752678639,1.1475433412435347
cvae,8,axis_balanced,0.05943498316316459,0.027013203138606966,0.03928123145610113,0.15868952681653428,1.4751249344422697,0.8560926500002142,0.6085263097467201,0.9547723055086802
cvae,8,raw_rms,0.05492427970481687,0.02441897626638523,0.03704915171465358,0.15482696700649615,1.6364766161514537,0.9639313228286638,0.6658316885863881,0.9228685968245418
spline_pca,3,axis_balanced,0.12300580756019674,0.0730414096376031,0.08544335836337234,0.22339838879710014,1.5487824944993005,0.8560926500002142,0.6409051599370013,1.0994842232515942
spline_pca,3,raw_rms,0.10677232346757394,0.07768408992209597,0.09088826889087599,0.17025491545274235,1.7973915165920793,0.9639313228286638,0.8243856484929155,1.2674905233570375
spline_pca,8,axis_balanced,0.09116703582478507,0.05445416474804605,0.06735460616848116,0.17172804155764992,1.613942456860854,0.8560926500002142,0.7403782625562291,1.2668507395387025
spline_pca,8,raw_rms,0.0981129898006847,0.07046444694480816,0.08402654793754012,0.1495731839826843,1.8614358130649544,0.9639313228286638,0.8974396478773089,1.3533598998683944
unconditional_vae,3,axis_balanced,0.10917522717511847,0.0608032919451497,0.07326475377460749,0.2373728638705008,1.5831104469281148,0.8560926500002142,0.6770885262922778,1.0968742562919016
unconditional_vae,3,raw_rms,0.10047847374380794,0.05718575448265257,0.07013349466587443,0.22004105310345318,1.7950033817720692,0.9639313228286638,0.7938049339193275,1.1350555818691561
unconditional_vae,8,axis_balanced,0.05685212039242319,0.024336465362999948,0.03663894629429391,0.15920447902024334,1.4840337112310298,0.8560926500002142,0.617453980261285,0.9669393896891221
unconditional_vae,8,raw_rms,0.0547684999643447,0.023808035726147266,0.03646762204252662,0.16039986029684108,1.63782575516182,0.9639313228286638,0.666214603145227,0.9377348232517152
