geometry,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,mean_b_minus_a,a_better_n,p,q_bh_80,p_holm_80
raw_rms,3,energy,spline_pca,cvae,28,0.10677232346757393,0.102367934078739,-0.004404389388834932,11,0.1637990102171898,0.20474876277148724,1.0
raw_rms,3,energy,spline_pca,conditional_ae,28,0.10677232346757393,0.1271810682110995,0.02040874474352556,20,0.020409412682056427,0.029686418446627533,0.5306447297334671
raw_rms,3,energy,spline_pca,unconditional_vae,28,0.10677232346757393,0.10047847374380793,-0.006293849723765991,10,0.04774715006351471,0.06474189839120638,1.0
raw_rms,3,energy,spline_pca,condition_ridge,28,0.10677232346757393,0.25201391027632275,0.1452415868087488,22,2.380460500717163e-05,5.289912223815918e-05,0.0011188164353370667
raw_rms,3,energy,cvae,conditional_ae,28,0.102367934078739,0.1271810682110995,0.024813134132360495,24,0.0001353248953819275,0.0002405775917900933,0.005007021129131317
raw_rms,3,energy,cvae,unconditional_vae,28,0.102367934078739,0.10047847374380793,-0.0018894603349310596,15,0.7792982533574104,0.809660522968738,1.0
raw_rms,3,energy,cvae,condition_ridge,28,0.102367934078739,0.25201391027632275,0.14964597619758374,23,4.2110681533813477e-05,8.63808851975661e-05,0.001768648624420166
raw_rms,3,energy,conditional_ae,unconditional_vae,28,0.1271810682110995,0.10047847374380793,-0.026702594467291556,4,6.318092346191406e-05,0.00012034461611793155,0.0025904178619384766
raw_rms,3,energy,conditional_ae,condition_ridge,28,0.1271810682110995,0.25201391027632275,0.12483284206522323,20,0.0007921457290649414,0.0013202428817749023,0.026140809059143066
raw_rms,3,energy,unconditional_vae,condition_ridge,28,0.10047847374380793,0.25201391027632275,0.1515354365325148,23,7.204711437225342e-05,0.00013404114301814588,0.00273779034614563
raw_rms,3,mmd2,spline_pca,cvae,28,0.07768408992209597,0.057767534203794595,-0.019916555718301372,7,0.0011721327900886536,0.0018386396707272996,0.03633611649274826
raw_rms,3,mmd2,spline_pca,conditional_ae,28,0.07768408992209597,0.08183114097386843,0.004147051051772457,17,0.6618045940995216,0.7059249003728231,1.0
raw_rms,3,mmd2,spline_pca,unconditional_vae,28,0.07768408992209597,0.05718575448265258,-0.020498335439443398,6,0.0011721327900886536,0.0018386396707272996,0.03633611649274826
raw_rms,3,mmd2,spline_pca,condition_ridge,28,0.07768408992209597,0.10901004375576753,0.03132595383367156,17,0.08145394921302795,0.1086052656173706,1.0
raw_rms,3,mmd2,cvae,conditional_ae,28,0.057767534203794595,0.08183114097386843,0.024063606770073832,25,2.2873282432556152e-06,7.624427477518718e-06,0.00013037770986557007
raw_rms,3,mmd2,cvae,unconditional_vae,28,0.057767534203794595,0.05718575448265258,-0.0005817797211420227,13,0.831373319029808,0.8526905836203159,1.0
raw_rms,3,mmd2,cvae,condition_ridge,28,0.057767534203794595,0.10901004375576753,0.051242509551972945,21,0.003738619387149811,0.005643199074943111,0.10841996222734451
raw_rms,3,mmd2,conditional_ae,unconditional_vae,28,0.08183114097386843,0.05718575448265258,-0.024645386491215854,5,1.765042543411255e-05,4.278891014330315e-05,0.0008648708462715149
raw_rms,3,mmd2,conditional_ae,condition_ridge,28,0.08183114097386843,0.10901004375576753,0.027178902781899106,16,0.21827305853366852,0.26062454750288777,1.0
raw_rms,3,mmd2,unconditional_vae,condition_ridge,28,0.05718575448265258,0.10901004375576753,0.05182428927311496,21,0.003738619387149811,0.005643199074943111,0.10841996222734451
