model_family,latent_dim,fold,subject,geometry,energy,mmd2,mmd2_biased_diagnostic,mean_path_rmse,all_pairs_mse_diagnostic,recorded_dispersion,generated_dispersion,dispersion_ratio
condition_ridge,0,0,subject05,axis_balanced,0.3910648236132352,0.23121193345069702,0.23869419047724807,0.6035962356406084,1.407537988737202,0.2000893401137501,0.8512624223203308,4.254411663491871
condition_ridge,0,0,subject05,raw_rms,0.37597151535771084,0.1711971017249739,0.17914583765890293,0.6960927738021855,1.8495933656906358,0.24554834510796067,1.1305103824903802,4.604023627173404
condition_ridge,0,0,subject13,axis_balanced,0.2543352302308014,0.138753778419741,0.14682133126872662,0.5010673347861847,1.5219022578819883,0.3405845798649649,0.9397031091287801,2.75908882751343
condition_ridge,0,0,subject13,raw_rms,0.3861790098972093,0.16114080448146495,0.1699045478393688,0.7371276086374058,2.342698819464413,0.5750148228914392,1.2361301013436636,2.149736062677189
condition_ridge,0,0,subject19,axis_balanced,0.377329097676131,0.20740892993073054,0.21522484275802026,0.6361685443381075,1.6024792097270486,0.3048617399402978,0.9009483627866596,2.955268716117331
condition_ridge,0,0,subject19,raw_rms,0.6021421696642183,0.25973252160894317,0.26831752647888574,0.9359980744764469,2.5056894991246423,0.479171776175523,1.1580498873806762,2.4167739941270594
condition_ridge,0,0,subject24,axis_balanced,0.05013157602542443,0.021506989966673166,0.03147258007192097,0.1801473986942037,1.5998000183659276,0.6008917142698702,0.9791454285938741,1.6294873191646708
condition_ridge,0,0,subject24,raw_rms,0.06656923948148404,0.0358513349326989,0.04560724124209777,0.17935356755668722,2.094719046247637,0.6527640463348907,1.4215993496046,2.1778150276298613
condition_ridge,0,0,subject27,axis_balanced,0.1766711495797829,0.11704671539502776,0.12581817382900726,0.327664460679262,1.4848434108248485,0.4474271354747183,0.9425020155050886,2.106492746590119
condition_ridge,0,0,subject27,raw_rms,0.24236322887374687,0.1623288745184764,0.17134235589812405,0.40622543453691234,2.023260273490552,0.6439936517249081,1.2297856342562299,1.9096238463877777
condition_ridge,0,0,subject34,axis_balanced,0.10626909614796594,0.05279706670090467,0.062214167989123804,0.2899986171675436,1.6492239190214288,0.543099275726661,1.0328887042548072,1.9018414319791042
condition_ridge,0,0,subject34,raw_rms,0.11973040145903872,0.0409038343640142,0.0511065294174775,0.4036899738876996,2.4901356592856656,0.8647568818662528,1.4758468904271993,1.7066610528061232
condition_ridge,0,0,subject35,axis_balanced,0.20378091234563245,0.10585399423340432,0.11680005410125939,0.4560639736667624,1.8933017402785663,0.5898240134266413,1.1111671554241775,1.883896094648201
condition_ridge,0,0,subject35,raw_rms,0.12441089877441676,0.07291459440477839,0.08463546213456337,0.28677736441795904,2.4840851160924706,0.8815464293616184,1.5431486732302568,1.7505018701598563
condition_ridge,0,1,subject08,axis_balanced,0.9089662600515643,0.365307367107694,0.3784882387694763,1.1813479682092078,3.869065924772262,1.471540484972622,1.0263366162537098,0.6974572746959149
condition_ridge,0,1,subject08,raw_rms,0.5382407783474615,0.30639278380345764,0.3182278882567126,0.7428295246273869,2.13438377148634,0.5973954376251124,0.9982858770994324,1.6710637782371105
condition_ridge,0,1,subject18,axis_balanced,0.29443523601735494,0.1369181358914501,0.1480901345084545,0.6230969531387106,2.596289121781633,1.2853000539149289,0.9440397185324746,0.734489752534437
condition_ridge,0,1,subject18,raw_rms,0.1464614468964634,0.08070215275183147,0.09204094091686503,0.3899081060305156,2.4258801559894128,1.4401307269673118,0.8555608625403281,0.5940855552342837
